entity_name,entity_id,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"García, Rony",665621,R,82.6,,,93.5,,,28.2,,
"Webb, Logan",657277,R,82.5,85.9,49.5,86.8,,,,53.3,
"Vincent, Nick",543883,R,82.4,85.7,60.4,97.4,,,27,,
"Sims, Lucas",608371,R,82.4,,,,,60.2,,,
"Lester, Jon",452657,L,82.3,82.1,58.6,80.1,,62.6,,,
"Barlow, Scott",605130,R,82.1,,,,,87.3,50.9,,
"Holder, Jonathan",656547,R,82,,42.6,91.4,,74.6,61.3,,
"Soroka, Michael",647336,R,82,83.8,,97.1,,,44.4,,
"Junis, Jakob",596001,R,81.9,78.3,,72.1,,,,62,
"Senzatela, Antonio",622608,R,81.8,,,61.4,,61.7,38.7,,
"Anderson, Shaun",641312,R,81.7,,,73.2,,,37.8,,
"Fairbanks, Pete",664126,R,81.7,,,,,,37.7,,
"Lindblom, Josh",458676,R,81.7,,51.1,99.4,91.2,91.3,59.8,,
"Valdez, César",491624,R,81.6,86.9,,74.9,,,,,
"Fry, Jace",605240,L,81.3,71.5,14.4,88.1,,76,,,
"Zimmermann, Bruce",669145,L,81.3,,,99.3,,43,17.4,,
"Adam, Jason",592094,R,81.2,,,87.2,,81.6,52.6,,
"Civale, Aaron",650644,R,81.2,85.7,51.7,92.9,,86,42.4,,
"Cahill, Trevor",502239,R,81.2,80.7,13,88.7,,71.7,,,
"Miley, Wade",489119,L,81.1,,38,84.8,,75.1,,,
"Leone, Dominic",608678,R,80.6,,44.7,,,,43.1,,
"López, Pablo",641154,R,80.5,82.3,51.5,85.5,,76.8,,,
"Martinez, Carlos",593372,R,80.4,79.2,,84.7,,,49.2,,
"Mazza, Chris",607391,R,80.4,86.8,39.3,86.9,,,41.6,,
"Sánchez, Ricardo",645307,L,80.2,,,99.1,,58.9,36.7,,
"Norris, Daniel",596057,L,80.1,,,78.8,,,21.6,,
"Glasnow, Tyler",607192,R,79.5,90.9,,92.4,,80.3,,,
"Turley, Nik",543867,L,79.3,,,,,98.2,,,
"Schmidt, Clarke",657376,R,79.1,78.3,,73.5,,74.6,,,
"Gray, Sonny",543243,R,79.1,74.3,,89.1,,83.1,,61.3,
"Kelly, Merrill",518876,R,78.8,76.4,61.3,81.6,,69.9,,,
"Kilome, Franklyn",642584,R,78.7,81.3,,53.3,,63,,,
"Lynn, Lance",458681,R,78.6,74.4,39.9,80.7,,37.2,,,
"Lakins, Travis",664042,R,78.5,,48.9,90.9,,77.2,,,
"Greinke, Zack",425844,R,78.4,,,81.7,,74.7,47.6,,
"Hughes, Jared",453172,R,78.4,74.9,,52,,41.9,,,
"Winkler, Dan",595465,R,78.1,76,43,,,52.1,,,
"Covey, Dylan",592229,R,77.9,75.8,78.4,,77.6,44.3,31.6,,
"Taylor, Blake",642130,L,77.9,,,,,,41.2,,
"Rogers, Tyler",643511,R,77.7,82.2,,,,,68.1,,
"Ramirez, Noé",598287,R,77.7,,,73.8,,64.9,,,
"Helsley, Ryan",664854,R,77.5,,,,,59.8,29.5,,
"Paredes, Enoli",660600,R,77.4,,,,,67.8,40.7,,
"Hudson, Dakota",641712,R,77.4,89.3,,96.8,,64.2,24.6,,
"Wainwright, Adam",425794,R,77.2,79.4,48.5,89.1,,96.8,,,
"Adams, Chance",664856,R,77,,,,,77.2,,,
"Bard, Daniel",453268,R,77,79,,90,,,37,,
"Miller, Andrew",453192,L,76.5,84.8,,,,,66,,
"Godley, Zack",643327,R,76.3,73.6,55.8,80.2,,59.9,,,
"Harper, Ryne",607560,R,76.2,,,,,90.5,76.1,,
"Chatwood, Tyler",543022,R,76.1,79.9,31.4,89.7,,68.4,,,
"Newberry, Jake",623470,R,75.9,,,75.8,,,31.2,,
"Raley, Brooks",548384,L,75.8,77.9,38.8,94.1,,69.2,,45.4,
