team_id,team_name,conference,year,season_team_id
30136,Lindenwood,OVC,2024,574230
30136,Lindenwood,OVC,2023,548409
28600,Lipscomb,ASUN,2025,596472
28600,Lipscomb,ASUN,2024,573990
28600,Lipscomb,ASUN,2023,548069
32,Little Rock,OVC,2025,596488
32,Little Rock,OVC,2024,574007
32,Little Rock,OVC,2023,548086
99,Long Beach St.,Big West,2025,596507
99,Long Beach St.,Big West,2024,574027
99,Long Beach St.,Big West,2023,548106
363,Longwood,Big South,2025,596582
363,Longwood,Big South,2024,574107
363,Longwood,Big South,2023,548186
671,Louisiana,Sun Belt,2025,596687
671,Louisiana,Sun Belt,2024,574220
671,Louisiana,Sun Belt,2023,548299
366,Louisiana Tech,CUSA,2025,596584
366,Louisiana Tech,CUSA,2024,574109
366,Louisiana Tech,C-USA,2023,548188
367,Louisville,ACC,2025,596585
367,Louisville,ACC,2024,574110
367,Louisville,ACC,2023,548189
380,Maine,America East,2025,596588
380,Maine,America East,2024,574113
380,Maine,America East,2023,548192
381,Manhattan,MAAC,2025,596589
381,Manhattan,MAAC,2024,574114
381,Manhattan,MAAC,2023,548193
386,Marist,MAAC,2025,596590
386,Marist,MAAC,2024,574115
386,Marist,MAAC,2023,548194
388,Marshall,Sun Belt,2025,596591
388,Marshall,Sun Belt,2024,574116
388,Marshall,Sun Belt,2023,548195
392,Maryland,Big Ten,2025,596593
392,Maryland,Big Ten,2024,574118
392,Maryland,Big Ten,2023,548197
400,Massachusetts,Atlantic 10,2025,596595
400,Massachusetts,Atlantic 10,2024,574120
400,Massachusetts,Atlantic 10,2023,548199
402,McNeese,Southland,2025,596596
402,McNeese,Southland,2024,574121
402,McNeese,Southland,2023,548200
404,Memphis,American,2025,596597
404,Memphis,AAC,2024,574122
404,Memphis,AAC,2023,548201
406,Mercer,SoCon,2025,596598
406,Mercer,SoCon,2024,574123
406,Mercer,SoCon,2023,548202
,Mercyhurst,NEC,2025,596906
410,Merrimack,MAAC,2025,596458
410,Merrimack,NEC,2024,573973
410,Merrimack,NEC,2023,548052
415,Miami (FL),ACC,2025,596600
415,Miami (FL),ACC,2024,574125
415,Miami (FL),ACC,2023,548204
414,Miami (OH),MAC,2025,596599
414,Miami (OH),MAC,2024,574124
414,Miami (OH),MAC,2023,548203
418,Michigan,Big Ten,2025,596602
418,Michigan,Big Ten,2024,574127
418,Michigan,Big Ten,2023,548206
416,Michigan St.,Big Ten,2025,596601
416,Michigan St.,Big Ten,2024,574126
416,Michigan St.,Big Ten,2023,548205
419,Middle Tenn.,CUSA,2025,596603
419,Middle Tenn.,CUSA,2024,574128
419,Middle Tenn.,C-USA,2023,548207
797,Milwaukee,Horizon,2025,596452
797,Milwaukee,Horizon,2024,573967
797,Milwaukee,Horizon,2023,548046
428,Minnesota,Big Ten,2025,596604
428,Minnesota,Big Ten,2024,574129
428,Minnesota,Big Ten,2023,548208
430,Mississippi St.,SEC,2025,596605
430,Mississippi St.,SEC,2024,574130
430,Mississippi St.,SEC,2023,548209
432,Mississippi Val.,SWAC,2025,596606
432,Mississippi Val.,SWAC,2024,574131
432,Mississippi Val.,SWAC,2023,548210
434,Missouri,SEC,2025,596608
434,Missouri,SEC,2024,574133
434,Missouri,SEC,2023,548212
669,Missouri St.,MVC,2025,596685
669,Missouri St.,MVC,2024,574218
669,Missouri St.,MVC,2023,548297
439,Monmouth,CAA,2025,596609
439,Monmouth,CAA,2024,574134
439,Monmouth,CAA,2023,548213
444,Morehead St.,OVC,2025,596610
444,Morehead St.,OVC,2024,574135
444,Morehead St.,OVC,2023,548214
450,Mount St. Mary's,MAAC,2025,596611
450,Mount St. Mary's,MAAC,2024,574136
450,Mount St. Mary's,MAAC,2023,548215
454,Murray St.,MVC,2025,596612
454,Murray St.,MVC,2024,574137
454,Murray St.,MVC,2023,548216
488,N.C. A&T,CAA,2025,596627
488,N.C. A&T,CAA,2024,574154
488,N.C. A&T,CAA,2023,548233
490,NC State,ACC,2025,596628
490,NC State,ACC,2024,574155
490,NC State,ACC,2023,548234
503,NIU,MAC,2025,596633
503,NIU,MAC,2024,574160
503,NIU,MAC,2023,548239
471,NJIT,America East,2025,596621
471,NJIT,America East,2024,574147
471,NJIT,America East,2023,548226
726,Navy,Patriot,2025,596431
726,Navy,Patriot,2024,573946
726,Navy,Patriot,2023,547916
463,Nebraska,Big Ten,2025,596712
463,Nebraska,Big Ten,2024,574143
463,Nebraska,Big Ten,2023,548222
466,Nevada,Mountain West,2025,596620
466,Nevada,Mountain West,2024,574146
466,Nevada,Mountain West,2023,548225
473,New Mexico,Mountain West,2025,596623
473,New Mexico,Mountain West,2024,574149
473,New Mexico,Mountain West,2023,548228
472,New Mexico St.,CUSA,2025,596622
472,New Mexico St.,CUSA,2024,574148
472,New Mexico St.,WAC,2023,548227
474,New Orleans,Southland,2025,596624
474,New Orleans,Southland,2024,574150
474,New Orleans,Southland,2023,548229
482,Niagara,MAAC,2025,596625
482,Niagara,MAAC,2024,574151
482,Niagara,MAAC,2023,548230
483,Nicholls,Southland,2025,596713
483,Nicholls,Southland,2024,574152
483,Nicholls,Southland,2023,548231
485,Norfolk St.,NEC,2025,596626
485,Norfolk St.,NEC,2024,574153
485,Norfolk St.,NEC,2023,548232
487,North Ala.,ASUN,2025,596475
487,North Ala.,ASUN,2024,573993
487,North Ala.,ASUN,2023,548072
457,North Carolina,ACC,2025,596614
457,North Carolina,ACC,2024,574139
457,North Carolina,ACC,2023,548218
493,North Dakota St.,Summit League,2025,596629
493,North Dakota St.,Summit League,2024,574156
493,North Dakota St.,Summit League,2023,548235
2711,North Florida,ASUN,2025,596467
2711,North Florida,ASUN,2024,573983
2711,North Florida,ASUN,2023,548062
500,Northeastern,CAA,2025,596631
500,Northeastern,CAA,2024,574158
500,Northeastern,CAA,2023,548237
502,Northern Colo.,Summit League,2025,596632
502,Northern Colo.,Summit League,2024,574159
502,Northern Colo.,Summit League,2023,548238
505,Northern Ky.,Horizon,2025,596634
505,Northern Ky.,Horizon,2024,574161
505,Northern Ky.,Horizon,2023,548240
509,Northwestern,Big Ten,2025,596636
509,Northwestern,Big Ten,2024,574163
509,Northwestern,Big Ten,2023,548242
508,Northwestern St.,Southland,2025,596635
508,Northwestern St.,Southland,2024,574162
508,Northwestern St.,Southland,2023,548241
513,Notre Dame,ACC,2025,596637
513,Notre Dame,ACC,2024,574164
513,Notre Dame,ACC,2023,548243
514,Oakland,Horizon,2025,596638
514,Oakland,Horizon,2024,574165
514,Oakland,Horizon,2023,548244
519,Ohio,MAC,2025,596640
519,Ohio,MAC,2024,574167
519,Ohio,MAC,2023,548246
518,Ohio St.,Big Ten,2025,596639
518,Ohio St.,Big Ten,2024,574166
518,Ohio St.,Big Ten,2023,548245
522,Oklahoma,SEC,2025,596641
522,Oklahoma,Big 12,2024,574169
522,Oklahoma,Big 12,2023,548248
521,Oklahoma St.,Big 12,2025,596714
521,Oklahoma St.,Big 12,2024,574168
521,Oklahoma St.,Big 12,2023,548247
523,Old Dominion,Sun Belt,2025,596642
523,Old Dominion,Sun Belt,2024,574170
523,Old Dominion,Sun Belt,2023,548249
433,Ole Miss,SEC,2025,596607
433,Ole Miss,SEC,2024,574132
433,Ole Miss,SEC,2023,548211
464,Omaha,Summit League,2025,596618
464,Omaha,Summit League,2024,574144
464,Omaha,Summit League,2023,548223
527,Oral Roberts,Summit League,2025,596715
527,Oral Roberts,Summit League,2024,574171
527,Oral Roberts,Summit League,2023,548250
529,Oregon,Big Ten,2025,596644
529,Oregon,Pac-12,2024,574173
529,Oregon,Pac-12,2023,548252
528,Oregon St.,DI Independent,2025,596643
528,Oregon St.,Pac-12,2024,574172
528,Oregon St.,Pac-12,2023,548251
534,Pacific,WCC,2025,596645
534,Pacific,WCC,2024,574174
534,Pacific,WCC,2023,548253
540,Penn,Ivy League,2025,596716
540,Penn,Ivy League,2024,574177
540,Penn,Ivy League,2023,548256
539,Penn St.,Big Ten,2025,596647
539,Penn St.,Big Ten,2024,574176
539,Penn St.,Big Ten,2023,548255
541,Pepperdine,WCC,2025,596648
541,Pepperdine,WCC,2024,574178
541,Pepperdine,WCC,2023,548257
545,Pittsburgh,ACC,2025,596649
545,Pittsburgh,ACC,2024,574179
545,Pittsburgh,ACC,2023,548258
551,Portland,WCC,2025,596650
551,Portland,WCC,2024,574180
551,Portland,WCC,2023,548259
553,Prairie View,SWAC,2025,596651
553,Prairie View,SWAC,2024,574181
553,Prairie View,SWAC,2023,548260
1320,Presbyterian,Big South,2025,596464
1320,Presbyterian,Big South,2024,573980
1320,Presbyterian,Big South,2023,548059
554,Princeton,Ivy League,2025,596652
554,Princeton,Ivy League,2024,574182
554,Princeton,Ivy League,2023,548261
559,Purdue,Big Ten,2025,596653
559,Purdue,Big Ten,2024,574183
559,Purdue,Big Ten,2023,548262
308,Purdue Fort Wayne,Horizon,2025,596567
308,Purdue Fort Wayne,Horizon,2024,574091
308,Purdue Fort Wayne,Horizon,2023,548170
11504,Queens (NC),ASUN,2025,596696
11504,Queens (NC),ASUN,2024,574231
11504,Queens (NC),ASUN,2023,548435
562,Quinnipiac,MAAC,2025,596654
562,Quinnipiac,MAAC,2024,574184
562,Quinnipiac,MAAC,2023,548263
563,Radford,Big South,2025,596655
563,Radford,Big South,2024,574185
563,Radford,Big South,2023,548264
572,Rhode Island,Atlantic 10,2025,596656
572,Rhode Island,Atlantic 10,2024,574186
572,Rhode Island,Atlantic 10,2023,548265
574,Rice,American,2025,596657
574,Rice,AAC,2024,574187
574,Rice,C-USA,2023,548266
575,Richmond,Atlantic 10,2025,596658
575,Richmond,Atlantic 10,2024,574188
575,Richmond,Atlantic 10,2023,548267
576,Rider,MAAC,2025,596659
576,Rider,MAAC,2024,574189
576,Rider,MAAC,2023,548268
587,Rutgers,Big Ten,2025,596660
587,Rutgers,Big Ten,2024,574190
587,Rutgers,Big Ten,2023,548269
676,SFA,Southland,2025,596689
676,SFA,WAC,2024,574222
676,SFA,WAC,2023,548301
660,SIUE,OVC,2025,596683
660,SIUE,OVC,2024,574215
660,SIUE,OVC,2023,548294
102,Sacramento St.,WAC,2025,596509
102,Sacramento St.,WAC,2024,574029
102,Sacramento St.,WAC,2023,548108
590,Sacred Heart,MAAC,2025,596661
590,Sacred Heart,NEC,2024,574191
590,Sacred Heart,NEC,2023,548270
606,Saint Joseph's,Atlantic 10,2025,596663
606,Saint Joseph's,Atlantic 10,2024,574194
606,Saint Joseph's,Atlantic 10,2023,548273
609,Saint Louis,Atlantic 10,2025,596664
609,Saint Louis,Atlantic 10,2024,574195
609,Saint Louis,Atlantic 10,2023,548274
610,Saint Mary's (CA),WCC,2025,596665
610,Saint Mary's (CA),WCC,2024,574196
610,Saint Mary's (CA),WCC,2023,548275
617,Saint Peter's,MAAC,2025,596666
617,Saint Peter's,MAAC,2024,574197
617,Saint Peter's,MAAC,2023,548276
624,Sam Houston,CUSA,2025,596667
624,Sam Houston,CUSA,2024,574198
624,Sam Houston,WAC,2023,548277
625,Samford,SoCon,2025,596668
625,Samford,SoCon,2024,574199
625,Samford,SoCon,2023,548278
627,San Diego,WCC,2025,596670
627,San Diego,WCC,2024,574201
627,San Diego,WCC,2023,548280
626,San Diego St.,Mountain West,2025,596669
626,San Diego St.,Mountain West,2024,574200
626,San Diego St.,Mountain West,2023,548279
629,San Francisco,WCC,2025,596671
629,San Francisco,WCC,2024,574202
629,San Francisco,WCC,2023,548281
630,San Jose St.,Mountain West,2025,596672
630,San Jose St.,Mountain West,2024,574203
630,San Jose St.,Mountain West,2023,548282
631,Santa Clara,WCC,2025,596673
631,Santa Clara,WCC,2024,574204
631,Santa Clara,WCC,2023,548283
1356,Seattle U,WAC,2025,596465
1356,Seattle U,WAC,2024,573981
1356,Seattle U,WAC,2023,548060
635,Seton Hall,Big East,2025,596674
635,Seton Hall,Big East,2024,574205
635,Seton Hall,Big East,2023,548284
639,Siena,MAAC,2025,596675
639,Siena,MAAC,2024,574206
639,Siena,MAAC,2023,548285
646,South Alabama,Sun Belt,2025,596676
646,South Alabama,Sun Belt,2024,574207
646,South Alabama,Sun Belt,2023,548286
648,South Carolina,SEC,2025,596677
648,South Carolina,SEC,2024,574208
648,South Carolina,SEC,2023,548287
649,South Dakota St.,Summit League,2025,596678
649,South Dakota St.,Summit League,2024,574209
649,South Dakota St.,Summit League,2023,548288
651,South Fla.,American,2025,596679
651,South Fla.,AAC,2024,574210
651,South Fla.,AAC,2023,548289
654,Southeast Mo. St.,OVC,2025,596718
654,Southeast Mo. St.,OVC,2024,574211
654,Southeast Mo. St.,OVC,2023,548290
655,Southeastern La.,Southland,2025,596680
655,Southeastern La.,Southland,2024,574212
655,Southeastern La.,Southland,2023,548291
657,Southern California,Big Ten,2025,596681
657,Southern California,Pac-12,2024,574213
657,Southern California,Pac-12,2023,548292
659,Southern Ill.,MVC,2025,596682
659,Southern Ill.,MVC,2024,574214
659,Southern Ill.,MVC,2023,548293
661,Southern Ind.,OVC,2025,596697
661,Southern Ind.,OVC,2024,574232
661,Southern Ind.,OVC,2023,548531
664,Southern Miss.,Sun Belt,2025,596719
664,Southern Miss.,Sun Belt,2024,574216
664,Southern Miss.,Sun Belt,2023,548295
665,Southern U.,SWAC,2025,596684
665,Southern U.,SWAC,2024,574217
665,Southern U.,SWAC,2023,548296
596,St. Bonaventure,Atlantic 10,2025,596662
596,St. Bonaventure,Atlantic 10,2024,574192
596,St. Bonaventure,Atlantic 10,2023,548271
603,St. John's (NY),Big East,2025,596717
603,St. John's (NY),Big East,2024,574193
603,St. John's (NY),Big East,2023,548272
620,St. Thomas (MN),Summit League,2025,596417
620,St. Thomas (MN),Summit League,2024,573909
620,St. Thomas (MN),Summit League,2023,547857
674,Stanford,ACC,2025,596688
674,Stanford,Pac-12,2024,574221
674,Stanford,Pac-12,2023,548300
678,Stetson,ASUN,2025,596720
678,Stetson,ASUN,2024,574223
678,Stetson,ASUN,2023,548302
