pitcher,name,ht_in
664139,Ian Gibaut,75
687134,Bradley Blalock,74
670036,Matt Festa,73
681168,Luis Curvelo,73
660600,Enoli Paredes,71
678215,Luarbert Arias,74
571945,Miles Mikolas,76
680573,Simeon Woods Richardson,75
672851,Joan Adon,74
425844,Zack Greinke,74
455119,Chris Martin,80
642016,Daniel Robert,76
663462,Isaiah Campbell,76
656232,Brandon Bielak,74
656686,Corbin Martin,74
663765,Jake Woodford,76
672841,Carlos Vargas,76
456501,Johnny Cueto,71
669422,Matt Sauer,76
668970,Gavin Hollowell,79
666159,Matt Manning,78
657571,Caleb Ferguson,75
666720,Yerry Rodríguez,74
621199,Matt Bowman,72
676263,Jack Dreyer,74
689690,Alek Jacob,75
641360,Phil Bickford,76
680735,Austin Cox,76
548389,Ross Stripling,73
656629,Michael Kopech,75
642028,Josh Rogers,75
608344,Cole Irvin,76
676604,Tyler Zuber,71
448179,Rich Hill,77
677865,Justin Bruihl,74
595881,Tyler Beede,74
642545,Jaime Barria,73
695611,Gage Jump,72
681867,Cooper Criswell,78
656186,Dan Altavilla,71
668868,Zack Thompson,74
666205,Kyle Muller,79
