pitcher,player_name,pitch_type,grp,n,act_miss,pred_miss,grade,g2080
656849,"Peterson, David",CH,offspeed,89,0.74,1,103.4,47
663436,"Martin, Davis",SL,breaking,139,1.75,1,103.4,42
669211,"Akin, Keegan",CH,offspeed,55,0.43,1,103.4,47
669373,"Skubal, Tarik",SL,breaking,91,0.54,1,103.4,42
676440,"Bibee, Tanner",ST,breaking,40,0.51,1.01,103.4,41
680767,"Vodnik, Victor",CH,offspeed,45,0.82,1.01,103.4,47
686973,"Varland, Louis",CH,offspeed,77,1.16,1,103.4,47
687911,"King, Bryan",ST,breaking,93,0.56,1.01,103.4,41
688883,"Pallette, Peyton",CU,breaking,34,1.09,1.01,103.4,42
689254,"Fluharty, Mason",CH,offspeed,36,0.7,1,103.4,47
691951,"Aldegheri, Sam",CH,offspeed,105,1.68,1.01,103.4,47
621121,"McCullers Jr., Lance",KC,breaking,53,1.12,1,103.3,40
642547,"Peralta, Freddy",ST,breaking,62,1.06,0.99,103.3,41
656605,"Keller, Mitch",CU,breaking,51,1.13,1,103.3,42
665622,"Medina, Luis",CH,offspeed,58,2.4,1,103.3,47
668674,"Erceg, Lucas",CH,offspeed,48,0.65,1,103.3,47
678022,"Perkins, Jack",CH,offspeed,111,1.37,1,103.3,47
678394,"Bello, Brayan",FC,fastball,96,1.92,0.99,103.3,80
681190,"Vásquez, Randy",CU,breaking,97,0.44,0.99,103.3,42
681190,"Vásquez, Randy",ST,breaking,54,0.32,1,103.3,41
687473,"Gusto, Ryan",ST,breaking,46,1.25,1,103.3,41
542888,"Armstrong, Shawn",ST,breaking,62,1.02,0.99,103.2,41
607067,"Rea, Colin",ST,breaking,80,1.01,0.99,103.2,41
621381,"Strahm, Matt",CH,offspeed,40,1.11,0.99,103.2,47
641927,"Ober, Bailey",CH,offspeed,234,0.87,0.99,103.2,47
664285,"Valdez, Framber",CU,breaking,226,1.36,0.99,103.2,42
668873,"Kilian, Caleb",KC,breaking,70,1.43,0.99,103.2,40
676083,"Junk, Janson",ST,breaking,91,0.71,0.99,103.2,41
676263,"Dreyer, Jack",SL,breaking,133,0.63,0.99,103.2,42
681751,"Estrada, Lazaro",SL,breaking,27,1.56,0.99,103.2,42
687941,"Gamboa, Alec",SL,breaking,37,0.31,0.99,103.2,42
688642,"Agnos, Zach",FS,offspeed,63,1.52,0.99,103.2,46
695076,"Lowder, Rhett",CH,offspeed,119,0.81,0.99,103.2,47
548384,"Raley, Brooks",ST,breaking,119,0.84,0.98,103.1,41
