Feature,Gain,Cover,Frequency,stand,spec
release_pos_x,0.0424099585422981,0.0378157103089405,0.0679156908665105,L,NP
speed_diff,0.0380212903403359,0.0717731060664805,0.0541764246682279,L,NP
pfx_z,0.0359874516393402,0.0177553405677401,0.0334894613583138,L,NP
ax,0.0280786458509424,0.00888525897301602,0.0430523028883685,L,NP
pfx_x,0.0253492983889869,0.0205151124683899,0.0416471506635441,L,NP
release_extension,0.0189028790922972,0.0193381652495428,0.0305230288836846,L,NP
arm_angle,0.0184422465823161,0.0187263698268499,0.0480874316939891,L,NP
release_spin_rate,0.0140619690604703,0.0411844639167049,0.0458626073380172,L,NP
cax,0.0138966368916412,0.0539931054548909,0.0365729898516784,L,NP
axis_diff,0.0116369374839918,0.0324898782435566,0.0323575331772053,L,NP
az_diff,0.0112764600633478,0.0202280825298707,0.0311865729898517,L,NP
pfx_z_diff,0.0109268328245664,0.023969555893481,0.0282982045277127,L,NP
pfx_x_diff,0.0096985188558589,0.0391878723341483,0.027088212334114,L,NP
ax_diff,0.00947340067764562,0.046975017912879,0.0279469164715066,L,NP
sax,0.00939148869785934,0.0223743083411764,0.0280249804839969,L,NP
speed_diff,0.158328581946621,0.077771904988352,0.0741816009557945,R,B0
az,0.14845321585671,0.108627871619335,0.0941218637992831,R,B0
pfx_z,0.144160766534368,0.116780483408436,0.0784348864994026,R,B0
release_speed,0.0837339478146891,0.0796647960780122,0.0916129032258065,R,B0
pitcher_q,0.0683032494494655,0.0414433336080181,0.0803464755077658,R,B0
ax,0.052843812937815,0.0265996659884095,0.0714695340501792,R,B0
pfx_x,0.0496930871046897,0.0332920729237513,0.0660334528076464,R,B0
pfx_z_diff,0.0468370122705821,0.114023205639934,0.0640023894862605,R,B0
az_diff,0.0438238851539397,0.0984446939680658,0.0651612903225806,R,B0
axis_diff,0.0426342193340563,0.0305003224405388,0.052389486260454,R,B0
cax,0.0399134494736708,0.0596763386283032,0.0541218637992832,R,B0
release_spin_rate,0.036420143230419,0.034124699433519,0.0688530465949821,R,B0
pfx_x_diff,0.0329414061324199,0.089299962636961,0.0497252090800478,R,B0
ax_diff,0.0306071062878633,0.0700815021901248,0.0506451612903226,R,B0
sax,0.0213061164726901,0.0196691464482388,0.0389008363201912,R,B0
speed_diff,0.151282541458244,0.0657173568460202,0.0614087673285875,R,B1
pfx_z,0.147376599523103,0.137286698669103,0.0786811539902585,R,B1
az,0.145400484004422,0.124969664958004,0.0888472586486824,R,B1
release_speed,0.0768918271757472,0.0670922997810134,0.0785562632696391,R,B1
pitcher_q,0.0521180821766486,0.026229904399058,0.0556637941800924,R,B1
ax,0.0448542716892456,0.0296159133140621,0.0602722617709504,R,B1
pfx_x,0.040205870001966,0.0374610848813197,0.0539028350193581,R,B1
pfx_z_diff,0.0373559838234947,0.0909177307284127,0.0503434494817035,R,B1
axis_diff,0.036354446762874,0.0277984344413261,0.0410765580117397,R,B1
cax,0.0356174833303861,0.050249000112863,0.0420257274884476,R,B1
release_pos_z,0.0351244603157543,0.0351365021484987,0.0547146247033845,R,B1
az_diff,0.0319567059719464,0.074897140259029,0.0484201323841639,R,B1
release_pos_x,0.028916023719498,0.021797593332045,0.0510053703009866,R,B1
release_spin_rate,0.0285489517980595,0.0369433081934808,0.0523666791557387,R,B1
