player_name,pitch_type,n,whiff,exp_whiff,wresid,axis,as_gap,ivb_gap,spin_sim
"Melton, Troy",FS,44,0.25,0.339,-0.089,25.6,-0.133,-10.4,0.122
"Soroka, Michael",CH,77,0.195,0.285,-0.09,18.4,0.054,-7.7,0.628
"Lynch IV, Daniel",CH,89,0.247,0.339,-0.091,24.3,-0.016,-9.1,0.736
"Ritchie, JR",CH,83,0.217,0.308,-0.091,19.3,-0.007,-9.1,0.821
"Marinaccio, Ron",CH,115,0.235,0.327,-0.093,40.5,-0.029,-10.3,0.413
"Early, Connelly",CH,149,0.221,0.316,-0.094,36.7,-0.102,-15.7,0.182
"Castillo, Luis",CH,116,0.181,0.279,-0.097,26.9,0.062,-10.9,0.475
"Kolek, Stephen",CH,50,0.16,0.257,-0.097,15.6,-0.177,-6.3,0.038
"Burke, Brock",CH,69,0.275,0.375,-0.099,13,-0.121,-6.8,0.212
"McLean, Nolan",CH,71,0.254,0.352,-0.099,29.6,-0.098,-11,0.256
"Gilbert, Logan",CH,51,0.294,0.395,-0.101,37.6,-0.064,-13.6,0.345
"Littell, Zack",FS,174,0.178,0.282,-0.104,35.6,-0.18,-13.7,0.021
"Kahnle, Tommy",CH,58,0.19,0.298,-0.108,42.1,0.101,-14.4,0.151
"Erceg, Lucas",CH,48,0.188,0.295,-0.108,14.6,-0.035,-6.5,0.791
"Woods Richardson, Simeon",FS,102,0.176,0.284,-0.108,24.9,-0.048,-11.3,0.576
"Martin, Davis",CH,137,0.124,0.233,-0.109,25.4,-0.131,-9.5,0.133
"Ferrer, José A.",CH,55,0.345,0.459,-0.113,22.8,-0.026,-1.2,0.726
"Harrison, Kyle",CH,62,0.21,0.323,-0.113,43.3,-0.103,-19.2,0.14
"Sheehan, Emmet",CH,135,0.207,0.322,-0.115,55.1,0.009,-18.5,0.229
"Lugo, Seth",CH,79,0.152,0.272,-0.12,26.1,0.021,-8.6,0.675
"May, Dustin",CH,52,0.212,0.342,-0.131,29.5,0.002,-6.9,0.647
"Woo, Bryan",CH,61,0.164,0.295,-0.131,10.2,-0.061,-9.4,0.65
"Chandler, Bubba",CH,137,0.241,0.372,-0.131,23.9,-0.004,-9.8,0.749
"Cole, Gerrit",CH,76,0.211,0.343,-0.133,21.9,0.028,-7.7,0.727
"Lauer, Eric",CH,100,0.11,0.245,-0.135,17.6,0.017,-6.2,0.819
"Baz, Shane",CH,71,0.155,0.294,-0.139,18.4,0.021,-3.4,0.805
"Cavalli, Cade",CH,68,0.191,0.331,-0.14,26.1,0.125,-7.7,0.149
"Matthews, Zebby",CH,63,0.159,0.309,-0.15,31.4,0.029,-10.5,0.563
"Ashcraft, Braxton",FS,40,0.1,0.252,-0.152,5.3,-0.011,-6.5,0.971
"Prielipp, Connor",CH,71,0.169,0.327,-0.158,10,-0.09,-9.8,0.42
"Mikolas, Miles",CH,54,0.093,0.264,-0.171,25.2,-0.051,-11,0.561
"Seabold, Connor",CH,41,0.146,0.322,-0.175,50.2,-0.122,-14.1,0.066
