player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Holmes, Grant",FF,fastball,48,0.06,0.18,0.17,-0.007,,3.1,0
"Lambert, Peter",FF,fastball,79,0.19,0.18,0.17,-0.007,,2.5,0
"Valdez, Framber",SI,fastball,52,0.11,0.18,0.17,-0.007,,5,-0.034
"Lodolo, Nick",FF,fastball,45,0.23,0.19,0.19,-0.007,,2.6,0
"Myers, Tobias",FF,fastball,51,0.33,0.19,0.19,-0.007,,3,0
"Leasure, Jordan",FF,fastball,28,0.13,0.19,0.19,-0.007,,3.2,0
"Alvarez, Andrew",FF,fastball,30,0.26,0.2,0.19,-0.007,,6,0
"Bibee, Tanner",SI,fastball,38,0.08,0.19,0.18,-0.007,,13.5,-0.013
"Rocker, Kumar",FF,fastball,26,0.08,0.18,0.17,-0.007,,3.1,0
"Miller, Bryce",FF,fastball,69,0.22,0.24,0.23,-0.007,,3.6,0
"Scherzer, Max",FF,fastball,29,0.11,0.18,0.18,-0.008,,3.3,0
"Peralta, Wandy",FF,fastball,25,0.04,0.18,0.17,-0.008,,2.7,0
"Nola, Aaron",SI,fastball,40,0.05,0.2,0.19,-0.008,,2.5,-0.027
"Beeks, Jalen",FF,fastball,26,0.28,0.19,0.19,-0.008,,2.6,0
"Lee, Dylan",FF,fastball,45,0.07,0.21,0.2,-0.008,,2.5,0
"Morejon, Adrian",SI,fastball,32,0.13,0.21,0.21,-0.008,,6.7,-0.063
"Junk, Janson",FF,fastball,70,0.12,0.2,0.19,-0.008,,5.9,0
"Agnos, Zach",FF,fastball,33,0.2,0.18,0.18,-0.008,,4,0
"Seymour, Ian",FF,fastball,69,0.17,0.2,0.19,-0.008,,5.2,0
"Lowder, Rhett",FF,fastball,43,0.13,0.18,0.17,-0.008,,3,0
"Cameron, Noah",FF,fastball,50,0.13,0.2,0.19,-0.008,,5.3,0
"Suárez, Albert",FF,fastball,37,0.18,0.18,0.18,-0.009,,5.7,0
"López, Reynaldo",FF,fastball,83,0.13,0.18,0.18,-0.009,,3.3,0
"Latz, Jacob",FF,fastball,63,0.12,0.2,0.2,-0.009,,2.3,0
