pitcher,season,pitch_type,arm,relx,relz,ht_in,p_throws,ht_ft,ax
677960,2024,ST,36.0904761904762,3.00202380952381,5.67654761904762,73,L,6.08333333333333,3.00202380952381
677960,2026,CH,32.7982456140351,2.72328947368421,5.4319298245614,73,L,6.08333333333333,2.72328947368421
677960,2026,SL,36.8745762711864,2.65220338983051,5.55347457627118,73,L,6.08333333333333,2.65220338983051
677960,2024,CH,33.0831578947368,2.957,5.58936842105263,73,L,6.08333333333333,2.957
677961,2026,SL,29.7478260869565,-2.30847826086957,5.7854347826087,77,R,6.41666666666667,2.30847826086957
677961,2026,ST,26.5212765957447,-2.29106382978723,5.71872340425532,77,R,6.41666666666667,2.29106382978723
677976,2026,ST,18.94,-2.062,5.39075,73,R,6.08333333333333,2.062
677976,2026,CH,19.2654545454546,-2.06981818181818,5.34509090909091,73,R,6.08333333333333,2.06981818181818
678020,2026,SL,53.2489361702127,-2.05957446808511,6.20468085106383,74,R,6.16666666666667,2.05957446808511
678020,2025,SL,46.5616666666667,-2.3685,5.84016666666667,74,R,6.16666666666667,2.3685
678020,2025,FS,37.8393617021277,-2.70404255319149,5.6963829787234,74,R,6.16666666666667,2.70404255319149
678022,2025,ST,27.0361904761905,-2.21628571428571,5.23533333333333,73,R,6.08333333333333,2.21628571428571
678022,2026,ST,31.7945205479452,-2.27328767123288,5.33808219178082,73,R,6.08333333333333,2.27328767123288
678022,2026,CH,35.018018018018,-2.04432432432432,5.4636036036036,73,R,6.08333333333333,2.04432432432432
678024,2025,CU,35.4285714285714,-1.38396825396825,6.0947619047619,77,R,6.41666666666667,1.38396825396825
678024,2025,ST,31.1632653061225,-1.59010204081633,5.90816326530612,77,R,6.41666666666667,1.59010204081633
678024,2025,CH,30.6646464646465,-1.57040404040404,5.86484848484849,77,R,6.41666666666667,1.57040404040404
678061,2023,CU,32.1964912280702,2.41228070175439,5.58578947368421,75,L,6.25,2.41228070175439
678061,2024,CU,32.3407894736842,1.54631578947368,5.62013157894737,75,L,6.25,1.54631578947368
678215,2025,SL,37.7840909090909,-0.850681818181818,6.06931818181818,74,R,6.16666666666667,0.850681818181818
678226,2024,SL,39.3182926829268,-1.27231707317073,5.79121951219512,70,R,5.83333333333333,1.27231707317073
678226,2025,SL,39.5460674157303,-1.51865168539326,5.92662921348315,70,R,5.83333333333333,1.51865168539326
678368,2024,CH,33.8140625,-1.45921875,5.81375,70,R,5.83333333333333,1.45921875
678368,2024,ST,45.0648148148148,-1.10666666666667,6.09037037037037,70,R,5.83333333333333,1.10666666666667
