player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Paddack, Chris",FC,fastball,61,0.45,0.8,0.65,-0.143,,21.7,-0.509
"Moll, Sam",SI,fastball,134,0.12,0.36,0.21,-0.144,,7.5,0.04
"Alcantara, Sandy",SL,breaking,69,1.05,1.9,1.75,-0.146,0.53,157.6,-0.717
"Gilbert, Logan",SL,breaking,246,1.44,1.71,1.57,-0.146,0.3,151.5,-0.636
"Tolle, Payton",FC,fastball,166,0.81,1.06,0.92,-0.146,,36.6,-0.551
"Lange, Alex",FC,fastball,42,0.23,0.55,0.4,-0.149,,17.3,-0.479
"Gilbert, Logan",FC,fastball,61,0.15,0.64,0.49,-0.149,,27.7,-0.356
"Webb, Logan",ST,breaking,105,0.71,1.3,1.15,-0.151,0.35,174.8,-0.309
"Schultz, Noah",ST,breaking,74,2.34,1.24,1.09,-0.151,0.46,160,-0.327
"Vest, Will",SL,breaking,65,1.31,2.09,1.94,-0.152,0.28,162.1,-0.723
"Adam, Jason",SL,breaking,117,2.07,2.56,2.41,-0.153,0.32,104,-0.766
"Coulombe, Danny",FC,fastball,60,0.4,0.53,0.38,-0.154,,35.2,-0.448
"Alexander, Jason",CH,offspeed,49,1.11,1.59,1.44,-0.154,0.42,25.4,0.036
"Cantillo, Joey",CU,breaking,249,1.29,1.03,0.87,-0.155,0.7,176.8,-0.037
"Cecconi, Slade",SL,breaking,46,1.61,1.58,1.43,-0.155,0.34,164.8,-0.585
"Smith, Cade",FS,offspeed,98,1.81,2.2,2.05,-0.156,0.29,99.2,-0.093
"Weathers, Ryan",ST,breaking,117,2.44,1.84,1.68,-0.158,0.82,161.5,-0.506
"Mederos, Victor",FC,fastball,53,0.66,0.79,0.63,-0.158,,29.1,-0.475
"Bennett, Jake",CH,offspeed,131,1.57,1.34,1.18,-0.158,0.31,15.6,-0.036
"Aldegheri, Sam",CH,offspeed,105,1.68,1.26,1.1,-0.158,0.42,53.6,-0.011
"De Los Santos, Enyel",CH,offspeed,106,1.57,1.16,1,-0.16,0.34,6.7,0.054
"Dodd, Dylan",FC,fastball,84,0.83,0.81,0.65,-0.16,,7.2,-0.404
"Miller, Bryce",SL,breaking,64,1.52,1.25,1.09,-0.162,0.27,83.2,-0.66
"Agnos, Zach",SL,breaking,68,1.54,1.16,1,-0.162,0.33,160.9,-0.471
"Scott, Christian",FC,fastball,106,0.35,0.82,0.66,-0.163,,44.6,-0.46
"Pérez, Cionel",CU,breaking,57,1.52,1.86,1.7,-0.165,0.47,172.5,-0.205
"Bibee, Tanner",FC,fastball,229,1.16,1.07,0.91,-0.166,,95.5,-0.594
"Sterner, Justin",ST,breaking,92,3.33,1.31,1.14,-0.166,0.36,148,-0.457
"Bird, Jake",ST,breaking,71,1.42,0.94,0.77,-0.168,0.41,141.7,-0.068
"Okert, Steven",SL,breaking,298,1.21,1.39,1.22,-0.169,0.48,126.3,-0.527
"Williams, Gavin",ST,breaking,282,2.51,2.37,2.2,-0.169,0.34,168.6,-0.4
