pitcher,season,fb_type
594798,2024,FF
594798,2025,FF
594798,2026,FF
594835,2020,FF
594835,2021,FF
594835,2022,FF
594835,2023,FF
594835,2024,FF
594902,2023,FF
594902,2024,FF
594902,2025,FF
594943,2023,FF
594965,2020,FF
594965,2021,FF
594985,2021,SI
594986,2020,SI
594986,2021,FF
594987,2020,SI
594987,2021,SI
595001,2020,FF
595014,2020,SI
595014,2021,FF
595014,2024,FF
595014,2025,FF
595014,2026,SI
595191,2021,FF
595345,2021,FF
595345,2022,FF
595345,2023,FF
595345,2024,FF
595345,2025,FF
595345,2026,FF
595411,2020,SI
595411,2021,SI
595411,2023,SI
595465,2020,FF
595465,2021,FF
595881,2022,FF
595881,2024,FF
595897,2024,FF
595918,2020,FF
595928,2020,FF
595928,2021,FF
595928,2023,FF
595928,2025,FF
595939,2021,FF
596001,2020,FF
596001,2021,FF
596001,2022,SI
596001,2023,SI
596001,2024,FF
596001,2025,FF
596001,2026,FF
596027,2021,FF
596035,2020,SI
596043,2020,FF
596049,2021,FF
596057,2020,FF
596057,2021,FF
596057,2022,FF
596057,2023,FF
596071,2021,FF
596071,2022,FF
596082,2021,SI
596082,2022,SI
596112,2020,FF
596112,2021,FF
596112,2022,FF
596112,2023,FF
596112,2025,FC
596133,2020,FF
596133,2021,FF
596133,2022,FF
596133,2023,FF
596133,2024,FF
596133,2025,FF
596133,2026,FF
596271,2022,FF
596271,2023,FF
596271,2025,SI
596295,2020,FF
596295,2021,FF
596295,2022,FF
596295,2023,FF
596295,2024,FF
596295,2025,FF
596720,2020,FF
598264,2020,FF
598264,2021,FF
598264,2022,FF
598264,2023,FF
598264,2024,FF
598286,2020,SI
598286,2021,SI
598286,2023,SI
598286,2024,SI
598287,2020,FF
598287,2021,FF
598287,2022,FF
600887,2020,FF
600917,2022,FF
600917,2023,FF
600917,2024,FF
600917,2025,FF
600921,2021,FF
600921,2022,FF
600921,2023,FF
600986,2024,FF
601713,2020,FF
601713,2021,FF
601713,2022,FF
601713,2023,FF
601713,2024,FF
601713,2025,FF
601713,2026,FF
605121,2024,FF
605130,2020,FF
605130,2021,FF
605130,2022,FF
605130,2023,FF
605130,2024,FF
605130,2025,FF
605130,2026,FF
605135,2020,FF
605135,2021,FF
605135,2022,FF
605135,2023,FF
605135,2024,FF
605135,2025,FF
605135,2026,SI
605138,2020,FF
605138,2021,FF
605151,2020,FF
605151,2021,FF
605151,2022,FF
605151,2023,FF
605154,2021,FF
605154,2022,FF
605154,2023,FF
605154,2024,FF
605154,2025,FF
605155,2020,FC
605155,2023,FC
605155,2024,FF
605156,2024,FF
605164,2020,FF
605164,2021,FF
605164,2022,FF
605177,2020,FF
605177,2021,FF
605177,2022,FF
605177,2023,FF
605177,2024,FF
605177,2025,FF
605182,2020,FF
605182,2022,FF
605182,2023,FF
605182,2024,FF
605194,2021,FF
605194,2022,FF
605195,2021,FF
605195,2022,SI
605200,2020,SI
605200,2021,FF
605200,2022,FF
605200,2023,FF
605218,2021,FF
605218,2022,FF
605218,2023,FF
605218,2026,FF
605240,2020,SI
605242,2020,FF
605242,2021,FF
605242,2022,FF
605242,2023,FF
605276,2020,FF
605276,2021,FF
605280,2021,SI
605280,2022,SI
605280,2023,SI
605280,2024,SI
605280,2025,FF
605280,2026,SI
605288,2020,FF
605288,2021,FF
605288,2022,FF
605288,2023,FF
605288,2024,FF
605288,2025,FF
605288,2026,FF
605309,2021,FF
605335,2020,FF
605347,2020,FF
605347,2021,FF
605347,2022,FF
605347,2023,FF
605347,2024,FF
605347,2025,FF
605359,2020,FF
605359,2021,FF
605388,2021,FF
605397,2020,FF
605397,2021,FF
605397,2022,FF
605397,2023,FF
605397,2024,FF
605400,2020,FF
605400,2021,FF
605400,2022,FF
605400,2023,FF
605400,2024,FF
605400,2025,FF
605400,2026,FF
605441,2021,FF
605447,2020,FF
605447,2021,FF
605447,2022,FF
605447,2023,FF
605447,2024,FF
605447,2025,FF
605447,2026,FF
605452,2021,FF
605452,2024,FF
605452,2025,FF
605452,2026,SI
605463,2022,SI
605463,2023,SI
605463,2024,FF
605463,2025,FF
605482,2020,FC
605483,2020,FF
605483,2021,FF
605483,2022,FF
605483,2023,FF
605483,2024,FF
605483,2025,FF
605488,2020,FF
605488,2021,FF
605488,2022,FF
605488,2023,FF
605488,2024,FF
605488,2025,FF
605488,2026,FF
605498,2020,FF
605498,2023,FF
605501,2020,SI
605507,2021,FF
605507,2022,FF
605513,2020,FF
605513,2021,FF
605513,2023,FF
605513,2024,FF
605521,2021,FF
605521,2022,FF
605525,2020,FF
605525,2021,FF
605525,2022,FF
605538,2020,FF
605538,2021,FF
605538,2022,FF
605540,2020,FF
605540,2021,FF
605540,2022,FF
605540,2023,FF
605540,2025,FF
605540,2026,FF
605541,2021,FF
606131,2020,SI
606131,2022,SI
606149,2020,FF
606149,2021,FF
606149,2022,FF
606149,2023,FF
606149,2024,FF
606160,2020,FF
606160,2021,FF
606160,2022,FF
606160,2023,FF
606160,2024,FF
606160,2025,FF
606303,2021,FF
606303,2022,FF
606303,2023,FF
606303,2024,FF
606303,2025,FF
606303,2026,FF
606424,2020,FF
606424,2021,FF
606424,2022,SI
606625,2022,FF
606930,2020,FF
606930,2021,FF
606930,2022,FF
606930,2023,FF
606930,2024,FF
606930,2025,FF
606944,2020,FF
606965,2022,FF
606965,2023,FF
606965,2024,FF
606965,2025,FF
606996,2020,FF
606996,2025,FF
606996,2026,FF
607067,2020,FF
607067,2023,FF
607067,2024,FF
607067,2025,FF
607067,2026,FF
607074,2020,FF
607074,2021,FF
607074,2022,FF
607074,2023,FF
607074,2024,FF
607074,2025,FF
607074,2026,FF
607179,2020,FF
607179,2021,FF
607179,2022,FF
607179,2023,FF
607179,2024,FF
607179,2025,FF
607188,2021,FF
607192,2020,FF
607192,2021,FF
607192,2023,FF
607192,2024,FF
607192,2025,FF
607192,2026,FF
607200,2020,FF
607200,2021,SI
607200,2022,SI
607200,2024,SI
607200,2025,SI
607200,2026,SI
607216,2022,FF
607219,2021,SI
607229,2020,FF
607229,2021,SI
607229,2022,SI
607231,2020,SI
607231,2021,FF
607237,2020,FF
607237,2021,FF
607237,2022,FF
607237,2023,FF
607259,2022,FF
607259,2023,FF
607259,2024,FF
607259,2025,FF
607259,2026,FF
607352,2020,SI
607359,2021,FF
607359,2022,FF
607359,2023,FF
607374,2020,FF
607391,2020,FF
607391,2021,SI
607455,2020,FF
607455,2021,FF
607455,2022,FF
607455,2023,FF
607455,2024,FF
607455,2025,FF
607455,2026,FF
607457,2021,FF
607457,2022,FF
607468,2021,FF
607481,2020,SI
607481,2021,SI
607481,2022,SI
607481,2023,FF
607481,2024,FF
607481,2025,FF
607481,2026,SI
607536,2020,FF
607536,2021,FF
607536,2022,FF
607536,2023,FF
607536,2024,FF
607536,2025,FF
607536,2026,FF
607555,2020,SI
607560,2020,FF
607560,2021,FF
607572,2020,FF
607572,2021,FF
607625,2020,FF
607625,2021,FF
607625,2022,FF
607625,2023,FF
607625,2024,FF
607625,2025,FF
607625,2026,FF
607644,2020,FF
607644,2021,FF
607644,2022,FF
607644,2023,FF
607644,2024,FF
607755,2023,FF
607968,2023,FF
608032,2020,FF
608032,2021,FF
608032,2022,FF
608032,2023,FF
608032,2024,FF
608032,2025,FF
608328,2020,FF
608328,2021,FF
608328,2022,FF
608328,2023,FF
608331,2020,FF
608331,2021,FF
608331,2022,FF
608331,2023,FF
608331,2024,FF
608331,2025,FF
608331,2026,FF
608334,2020,FF
608334,2021,FF
608334,2023,SI
608334,2024,FF
608334,2025,FF
608335,2020,FF
608335,2021,FF
608337,2020,FF
608337,2021,FF
608337,2022,FF
608337,2023,FF
608337,2025,FF
608337,2026,FF
608344,2021,FF
608344,2022,FF
608344,2023,FF
608344,2024,FF
608349,2020,FF
608349,2021,FF
608349,2022,FF
608371,2020,FF
608371,2021,FF
608371,2022,FF
608371,2023,FF
608371,2024,FF
608371,2025,FF
608371,2026,FF
608372,2025,FF
608372,2026,FF
608379,2020,FF
608379,2021,FF
608379,2022,FF
608379,2023,FF
608379,2024,FF
608379,2025,FF
608379,2026,FF
608566,2020,FF
608566,2021,FF
608566,2022,FF
608566,2023,FF
608566,2025,FF
608566,2026,FF
608638,2021,SI
608638,2022,SI
608638,2023,SI
608638,2024,SI
608648,2020,FF
608648,2021,FF
608648,2022,FF
608648,2024,FF
608650,2021,FF
608650,2025,FF
608650,2026,FF
608652,2021,FF
608652,2022,FF
608665,2020,SI
608665,2021,FF
608665,2022,FF
608665,2023,FF
608665,2025,FF
608678,2020,FF
608678,2021,FF
608678,2022,FF
608678,2023,FF
608678,2024,FF
608716,2021,FF
608716,2022,FF
608717,2020,FF
608717,2021,FF
608717,2022,FF
608717,2023,FF
608717,2024,FF
608717,2025,FF
608718,2020,FF
608718,2021,FF
608718,2022,FF
608718,2023,FF
608718,2024,FF
608718,2025,FF
608718,2026,FF
608723,2020,FF
608723,2021,FF
608723,2022,FF
608723,2023,FF
608723,2024,FF
608723,2026,FF
611093,2023,FF
612434,2020,SI
612434,2021,SI
612434,2022,SI
612434,2023,SI
612434,2024,FF
612434,2025,FF
613534,2021,FF
613534,2024,FF
614179,2021,FF
614179,2022,FF
614179,2023,FF
614179,2024,FF
614179,2025,FF
615698,2020,SI
615698,2021,FF
615698,2022,FF
615698,2023,FF
615698,2024,FF
615698,2025,FF
615698,2026,FF
617228,2021,FF
617228,2022,FF
620396,2021,FF
620454,2025,FF
620982,2024,SI
621016,2022,SI
621016,2023,FF
621016,2024,FF
621016,2026,FF
621051,2022,FF
621051,2023,FF
621051,2024,FF
621051,2025,FF
621052,2020,FF
621052,2021,FF
621053,2024,FF
621053,2025,FF
621053,2026,FF
621057,2021,FF
621057,2023,FF
621074,2021,FF
621074,2022,FF
621074,2023,FF
621074,2026,FF
621076,2021,FF
621076,2022,FF
621076,2023,FF
621078,2020,FF
621079,2022,FC
621082,2022,SI
621097,2020,FF
621097,2024,FF
621097,2026,FF
621098,2021,FF
621107,2020,FF
621107,2021,FF
621107,2022,FF
621107,2023,FF
621107,2024,FF
621107,2025,FF
621111,2020,FF
621111,2021,FF
621111,2022,FF
621111,2024,FF
621111,2025,FF
621111,2026,FF
621112,2021,SI
621112,2022,FF
621112,2023,FF
621112,2024,FF
621112,2025,SI
621112,2026,SI
