player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff
"deGrom, Jacob",FF,fastball,255,0.21,0.25,0.25,0.003,,2.7
"Rea, Colin",FF,fastball,237,0.12,0.17,0.17,0.003,,3.8
"Banda, Anthony",SI,fastball,62,0.12,0.19,0.19,0.003,,3.8
"Suter, Brent",FF,fastball,68,0.09,0.17,0.17,0.003,,5.2
"Severino, Luis",SI,fastball,87,0.14,0.16,0.17,0.003,,3.2
"Leiter Jr., Mark",SI,fastball,52,0.2,0.15,0.16,0.003,,3.8
"Flaherty, Jack",FF,fastball,210,0.19,0.17,0.17,0.003,,3.3
"Keller, Mitch",CH,offspeed,49,0.59,0.65,0.66,0.003,0.14,18.9
"Martin, Davis",FF,fastball,131,0.22,0.2,0.2,0.003,,3.9
"Bubic, Kris",CH,offspeed,45,1.32,0.94,0.94,0.003,0.21,36.9
"Morán, Jovani",CH,offspeed,66,3.22,1.69,1.69,0.003,0.42,29.8
"Fairbanks, Pete",FF,fastball,93,0.18,0.24,0.24,0.003,,3.5
"Winn, Cole",FF,fastball,50,0.22,0.21,0.22,0.003,,3.8
"Henry, Cole",FF,fastball,47,0.24,0.22,0.23,0.003,,3.5
"Detmers, Reid",FF,fastball,275,0.25,0.17,0.18,0.003,,4.6
"Alvarez, Andrew",FF,fastball,80,0.13,0.19,0.19,0.003,,4.4
"Drohan, Shane",SL,breaking,65,1.99,1.87,1.88,0.003,0.39,137.2
"Nardi, Andrew",FF,fastball,54,0.5,0.21,0.21,0.003,,3.5
"Woods Richardson, Simeon",FF,fastball,137,0.19,0.16,0.16,0.003,,3.3
"Wrobleski, Justin",FF,fastball,239,0.21,0.21,0.21,0.003,,3.5
"Vásquez, Randy",FF,fastball,134,0.16,0.19,0.2,0.003,,3
"Silseth, Chase",FF,fastball,70,0.4,0.19,0.2,0.003,,3.6
"Anderson, Grant",FF,fastball,85,0.16,0.22,0.22,0.003,,5.2
"Jones, Jared",FF,fastball,120,0.28,0.3,0.3,0.003,,3.9
"Leiter, Jack",FF,fastball,169,0.22,0.24,0.24,0.003,,2.7
"Sheehan, Emmet",FF,fastball,235,0.27,0.22,0.22,0.003,,3.4
"Agnos, Zach",FF,fastball,71,0.1,0.18,0.19,0.003,,3.3
"Dobbins, Hunter",FF,fastball,57,0.09,0.2,0.2,0.003,,4.2
"Abel, Mick",FF,fastball,51,0.39,0.25,0.25,0.003,,3.3
"Harrison, Kyle",FF,fastball,256,0.32,0.2,0.2,0.003,,3.1
"Woo, Bryan",SI,fastball,128,0.07,0.2,0.2,0.003,,3.5
