pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,arm_gap,slot,fb_slot
656641,offspeed,CH,"Latz, Jacob",350,2.03042889550519,38.8571428571429,2.76369226893622,48.2323266553123,49.785384156856,-0.00229673590504452,100,2.76369226893622,TRUE,0.60427807486631,0.216578354051077,TRUE,0.106666308054678,60,2.8,48,50
592662,offspeed,CH,"Ray, Robbie",353,2.69387536902191,29.7450424929178,2.8144600163479,43.7723461820034,46.0740262582073,-0.01814447592068,100,2.8144600163479,TRUE,0.598930481283422,0.207431103102387,TRUE,0.0770010021576093,60,2.8,44,46
628452,offspeed,CH,"Iglesias, Raisel",562,4.28229174387561,34.6975088967972,2.8351937620954,31.1090565191806,31.2631997773507,-0.0159857651245551,100,2.8351937620954,TRUE,0.593582887700535,0.198283852153697,TRUE,0.046303209592685,59,2.8,31,31
684007,offspeed,FS,"Imanaga, Shota",1242,2.57377566782067,36.7149758454106,2.57395230315792,37.3588732085761,38.6621544715058,-0.0556119162640901,100,2.57395230315792,TRUE,0.589285714285714,0.190933382641357,TRUE,0.0741841587161435,59,2.6,37,39
547179,offspeed,CH,"Lorenzen, Michael",702,7.57128294786623,34.7578347578348,2.83994352766233,40.9596866096866,40.8259550040685,0.0239387464387464,100,2.83994352766233,TRUE,0.588235294117647,0.189136601205007,TRUE,0.0249807862825032,59,2.8,41,41
668674,offspeed,CH,"Erceg, Lucas",277,3.09456517551431,29.9638989169675,2.84093033361602,41.0512927511997,43.5261770644014,-0.0289097472924188,100,2.84093033361602,TRUE,0.582887700534759,0.179989350256317,TRUE,0.0581630503957325,58,2.8,41,44
650911,offspeed,CH,"Sánchez, Cristopher",1732,-3.68801392471653,39.4919168591224,2.85390429255223,28.6764434180139,31.1794053462377,-0.0677292147806005,100,2.85390429255223,TRUE,0.577540106951872,0.170842099307628,FALSE,,58,2.9,29,31
671096,offspeed,CH,"Abbott, Andrew",706,3.16358127635569,28.7535410764873,2.85446138847542,45.8274787535411,47.4844562728838,-0.00746458923512735,100,2.85446138847542,TRUE,0.572192513368984,0.161694848358938,TRUE,0.0511113305567428,57,2.9,46,47
641941,offspeed,FS,"Pagán, Emilio",208,-0.597311354062865,40.8653846153846,2.58425038729384,43.7950310559006,41.7906991559166,-0.0928749999999999,100,2.58425038729384,TRUE,0.571428571428571,0.160388098223411,FALSE,,57,2.6,44,42
624133,offspeed,CH,"Suarez, Ranger",642,-1.08713561957308,30.5295950155763,2.86152547873213,38.143347993403,39.6261306196064,-0.0475732087227415,100,2.86152547873213,TRUE,0.566844919786096,0.152547597410248,FALSE,,57,2.9,38,40
686218,offspeed,CH,"Sheehan, Emmet",291,-2.05057319483531,28.1786941580756,2.86262587281111,31.8020618556701,34.2213151232715,-0.0237285223367697,100,2.86262587281111,TRUE,0.561497326203209,0.143400346461558,FALSE,,56,2.9,32,34
664285,offspeed,CH,"Valdez, Framber",800,3.52390798275107,27.75,2.86723872058923,43.354564208457,43.5879095387374,0.00200249999999994,100,2.86723872058923,TRUE,0.556149732620321,0.134253095512869,TRUE,0.0380977869371206,56,2.9,43,44
673513,offspeed,FS,"Matsui, Yuki",393,2.83040846504294,42.2391857506361,2.58812353176801,55.1545812400774,55.8432566394518,-0.250404580152672,99.7455470737914,2.58812353176801,TRUE,0.553571428571429,0.129842813805465,TRUE,0.0458742317263013,55,2.6,55,56
527048,offspeed,CH,"Pérez, Martín",684,0.66373078189667,29.3859649122807,2.87651618603152,44.7056421206525,45.584512921655,0.0251608187134502,100,2.87651618603152,TRUE,0.550802139037433,0.125105844564179,TRUE,0.188488839114373,55,2.9,45,46
621244,offspeed,CH,"Berríos, José",603,2.02466229102099,29.5190713101161,2.89640748211724,37.9946233022217,40.7040155519355,0.0526650082918739,100,2.89640748211724,TRUE,0.545454545454545,0.115958593615489,TRUE,0.057273054439619,55,2.9,38,41
471911,offspeed,CH,"Carrasco, Carlos",417,-0.265906650807528,26.378896882494,2.93166987937403,33.3848324514991,35.7349595944103,-0.146544364508393,100,2.93166987937403,TRUE,0.540106951871658,0.106811342666799,FALSE,,54,2.9,33,36
663969,offspeed,FS,"Phillips, Tyler",268,-6.55793751391281,27.2388059701493,2.59130666031595,31.7983805668016,30.6576557910614,0.0871156716417912,100,2.59130666031595,TRUE,0.535714285714286,0.0992975293875183,FALSE,,54,2.6,32,31
668941,offspeed,CH,"Romero, JoJo",292,0.0420876430689824,31.8493150684932,2.93644520897197,33.3349564134496,30.7939386829637,0.10686301369863,100,2.93644520897197,TRUE,0.53475935828877,0.0976640917181092,TRUE,1,53,2.9,33,31
605540,offspeed,CH,"Woodruff, Brandon",249,4.34516400820791,34.9397590361446,2.96842761522279,40.9542168674699,43.7567781602601,-0.0305261044176706,100,2.96842761522279,TRUE,0.529411764705882,0.0885168407694196,TRUE,0.0203713463064256,53,3,41,44
669212,offspeed,CH,"Morgan, Eli",249,0.231858685436097,24.8995983935743,3.00550585016345,45.829718875502,47.8375344811264,-0.0767710843373492,100,3.00550585016345,TRUE,0.524064171122995,0.0793695898207298,TRUE,0.342318812303475,52,3,46,48
608334,offspeed,CH,"Fulmer, Carson",301,2.10653158876805,34.21926910299,3.02757376542476,36.1452554744526,37.3119290758221,0.041156146179402,100,3.02757376542476,TRUE,0.518716577540107,0.0702223388720401,TRUE,0.0333355261542068,52,3,36,37
663855,offspeed,FS,"Hicks, Jordan",225,-1.46395737573073,37.3333333333333,2.70154426904599,29.2360215053763,30.6197872340426,-0.0944888888888889,100,2.70154426904599,TRUE,0.517857142857143,0.0687522449695719,FALSE,,52,2.7,29,31
681347,offspeed,CH,"Burrows, Mike",433,8.32989506015924,35.796766743649,3.05077010327003,44.0016166281756,43.3769895439936,0.0332494226327945,100,3.05077010327003,TRUE,0.513368983957219,0.0610750879233503,TRUE,0.00733203569579937,51,3.1,44,43
