pitcher,season,n_ch,est_ch,true_ch,n_ff,est_ff,true_ff,player_name,name,pass,truly,nsw,axis_gap,arm,velo_sep,resid,gap_band
695611,2026,78,0.937612630686834,0.935,523,0.928996757401534,0.96,"Jump, Gage",Gage Jump,TRUE,TRUE,24,16.6940419410084,39.7875,8.66032504780115,-5.42592026733244,10-20
670329,2026,191,0.953393797341091,0.977,226,0.976261918800967,0.988,"Garcia, Rico",Rico Garcia,TRUE,TRUE,104,16.7594570383687,46.0480769230769,8.80267188563648,15.6011674970389,10-20
695418,2025,278,0.979338420534404,0.987,1032,0.935179361586202,0.981,"Lord, Brad",Brad Lord,TRUE,TRUE,137,16.8513134151876,17.7583941605839,8.83903199796299,-3.05284019810354,10-20
669358,2025,309,0.9617891854628,0.957,1189,0.931674131685334,0.944,"Baz, Shane",Shane Baz,TRUE,TRUE,149,16.9281960648335,35.5087248322148,7.62859375175655,-0.443277899544443,10-20
805673,2024,57,0.94850748552384,0.988,307,0.988107443843851,0.98,"Matthews, Zebby",Zebby Matthews,TRUE,TRUE,16,17.0857086776649,40.24375,9.19629478827361,3.17995153434157,10-20
691587,2026,159,1.00073648761642,0.983,692,0.941181664565003,0.965,"Pérez, Eury",Eury Pérez,TRUE,TRUE,66,17.0984835583906,32.0909090909091,8.26738483096864,1.53438749774163,10-20
592351,2024,115,0.95079868323728,0.988,720,0.934547219496962,0.953,"Gray, Jon",Jon Gray,TRUE,TRUE,63,17.1397583376941,33.5333333333333,6.09375,-4.83570984194201,10-20
682052,2025,224,0.958378102042667,0.972,587,0.925307958779528,0.94,"Lopez, Jacob",Jacob Lopez,TRUE,TRUE,103,17.1825014327526,15.7766990291262,7.96630389838077,7.24807801562183,10-20
642121,2024,75,0.971753482518543,0.893,142,0.992222349544259,0.99,"Sulser, Cole",Cole Sulser,TRUE,TRUE,35,17.2443061772849,41.9428571428572,8.59474525474526,-2.25883338793552,10-20
605200,2023,121,0.945911465563186,0.994,161,0.930933856929751,0.956,"Davies, Zach",Zach Davies,TRUE,TRUE,192,17.4573400772517,36.1328125,8.83723684210526,5.78427241979996,10-20
519242,2025,154,0.910579031231227,0.989,846,0.905001389238046,0.944,"Sale, Chris",Chris Sale,TRUE,TRUE,77,17.5408549589267,4.23376623376623,8.20476343986982,0.695144272028674,10-20
