pitcher,pitch_type,player_name,n,resid_pp,whiff_pct,axis_diff,as_gap,active_spin,fb_active,spin_sim,axis_sim,act_sim,cue,cue_pct
607536,CH,"Freeland, Kyle",321,-2.50093005340953,15.2647975077882,15.2492017849038,0.0863551401869158,0.953436137071651,0.867080996884735,0.412375131627319,-15.2492017849038,-0.0863551401869158,0.412375131627319,0.39572192513369
676979,ST,"Crochet, Garrett",435,-2.52363311284472,37.9310344827586,164.627185178506,-0.327754022988506,0.538013793103448,0.865767816091954,1.66216108177161e-10,-164.627185178506,-0.327754022988506,-164.627185178506,0.296296296296296
678606,CH,"Ferrer, José A.",289,-2.5660321894829,40.484429065744,17.6925924401681,-0.036,0.952328719723183,0.988328719723183,0.722783019524223,-17.6925924401681,-0.036,0.722783019524223,0.754010695187166
676395,CH,"Garcia, Robert",377,-2.57926326685846,32.8912466843501,14.6348541184592,0.00640583554376654,0.880336870026525,0.873931034482759,0.843411218912438,-14.6348541184592,-0.0188832891246685,0.843411218912438,0.935828877005348
518876,CU,"Kelly, Merrill",260,-2.58123539792045,17.6923076923077,171.422416869406,-0.204430769230769,0.626092307692308,0.830523076923077,6.16864398065498e-08,-171.422416869406,-0.204430769230769,-171.422416869406,0.473684210526316
519242,SL,"Sale, Chris",1466,-2.59595651991762,38.5402455661664,161.92477960935,-0.34149727148704,0.608892905866303,0.950390177353343,2.18691231234827e-10,-161.92477960935,-0.34149727148704,-161.92477960935,0.0796812749003984
664285,CU,"Valdez, Framber",1130,-2.59724354981796,37.0796460176991,176.082633039639,0.0195654867256636,0.807356637168141,0.787791150442478,2.07466375100156e-07,-176.082633039639,-0.0465495575221239,-176.082633039639,0.105263157894737
670990,ST,"Ramírez, Yohan",335,-2.65398789319844,34.3283582089552,168.099942402211,-0.269662686567164,0.579423880597015,0.849086567164179,6.44997614016218e-08,-168.099942402211,-0.269662686567164,-168.099942402211,0.185185185185185
666157,CH,"Lodolo, Nick",594,-2.65882508692679,24.2424242424242,9.0767672481931,-0.0251060606060606,0.958122895622896,0.983228956228956,0.891594581066381,-9.0767672481931,-0.0251060606060606,0.891594581066381,0.973262032085561
592773,FS,"Stanek, Ryne",236,-2.69155367844022,36.4406779661017,28.6319185322627,-0.0608601694915254,0.931063559322034,0.991923728813559,0.457484292969072,-28.6319185322627,-0.0608601694915254,0.457484292969072,0.625
547973,SL,"Chapman, Aroldis",275,-2.7339075484396,40,117.134728063838,-0.503112727272727,0.400072727272727,0.903185454545454,2.52585410944949e-13,-117.134728063838,-0.503112727272727,-117.134728063838,0.398406374501992
606303,ST,"Payamps, Joel",213,-2.78560045779053,26.2910798122066,166.323557422065,-0.312079812206573,0.446981220657277,0.75906103286385,9.26789213538613e-09,-166.323557422065,-0.312079812206573,-166.323557422065,0.214814814814815
693821,CH,"Elder, Bryce",330,-2.81363859876356,20.3030303030303,19.0679344147469,-0.155069696969697,0.669990909090909,0.825060606060606,0.0944743870172978,-19.0679344147469,-0.155069696969697,0.0944743870172978,0.101604278074866
663903,SL,"Singer, Brady",1453,-2.83602580549941,31.3833448038541,119.673782994788,-0.443482450103234,0.325683413626979,0.769165863730213,8.59208552193477e-10,-119.673782994788,-0.443482450103234,-119.673782994788,0.386454183266932
622072,CH,"Wood, Alex",223,-2.88800007715086,11.6591928251121,31.4000490051679,-0.0222780269058297,0.972466367713004,0.994744394618834,0.588999595488689,-31.4000490051679,-0.0222780269058297,0.588999595488689,0.572192513368984
663158,CH,"Suarez, Robert",319,-2.89480505730751,35.423197492163,25.9426228922056,0.00949529780564269,0.950316614420063,0.94082131661442,0.690540802102111,-25.9426228922056,-0.0176332288401254,0.690540802102111,0.689839572192513
657006,SL,"Steele, Justin",602,-2.90076905370468,27.4086378737542,144.455569145306,-0.149563122923588,0.479800664451827,0.629363787375416,1.70064152666406e-05,-144.455569145306,-0.149563122923588,-144.455569145306,0.223107569721116
680767,CH,"Vodnik, Victor",272,-2.93479093266205,33.4558823529412,30.9751143623298,-0.0268933823529411,0.872077205882353,0.898970588235294,0.505291184406344,-30.9751143623298,-0.0427757352941176,0.505291184406344,0.497326203208556
680730,CU,"Parker, Mitchell",527,-2.93498470038423,26.5654648956357,169.751628367576,-0.426791271347249,0.55465844402277,0.981449715370019,5.10581487095024e-13,-169.751628367576,-0.426791271347249,-169.751628367576,0.552631578947369
594580,ST,"Moll, Sam",294,-2.95085876060309,36.3945578231293,166.366803927418,-0.218683673469388,0.50265306122449,0.721336734693878,8.90502924393264e-07,-166.366803927418,-0.218683673469388,-166.366803927418,0.207407407407407
621112,ST,"Blackburn, Paul",263,-2.95461750630783,26.6159695817491,163.471881002567,-0.243384030418251,0.637703422053232,0.881087452471483,6.16050106422657e-08,-163.471881002567,-0.243384030418251,-163.471881002567,0.318518518518519
666157,CU,"Lodolo, Nick",675,-2.95495330791921,39.2592592592593,172.103180671457,-0.532551111111111,0.450577777777778,0.983128888888889,1.71747697637283e-17,-172.103180671457,-0.532551111111111,-172.103180671457,0.447368421052632
695505,SL,"Burns, Chase",490,-2.97626042021178,48.3673469387755,84.1367970426798,-0.679028571428571,0.223957142857143,0.902985714285714,1.58735581514314e-21,-84.1367970426798,-0.679028571428571,-84.1367970426798,0.601593625498008
623465,ST,"Phillips, Evan",237,-2.97662647247826,31.6455696202532,164.717932563545,-0.406210970464135,0.523881856540084,0.930092827004219,6.54575771952784e-13,-164.717932563545,-0.406210970464135,-164.717932563545,0.281481481481482
453286,CH,"Scherzer, Max",232,-3.01646000950345,22.8448275862069,27.7812920977804,0.0599482758620689,0.989836206896552,0.929887931034483,0.474291732924709,-27.7812920977804,-0.0599482758620689,0.474291732924709,0.449197860962567
554430,ST,"Wheeler, Zack",492,-3.06295450723323,34.5528455284553,160.410568915153,-0.41730081300813,0.426837398373984,0.844138211382114,1.06360206894745e-10,-160.410568915153,-0.41730081300813,-160.410568915153,0.385185185185185
672582,SL,"Zerpa, Angel",359,-3.07909903018194,19.7771587743733,150.078655783836,-0.460874651810585,0.456445682451254,0.917320334261838,5.60680352492745e-08,-150.078655783836,-0.460874651810585,-150.078655783836,0.163346613545817
682243,FS,"Miller, Bryce",545,-3.11465874610156,26.7889908256881,30.9251976740888,-0.227426987060998,0.682441774491682,0.909466055045872,0.00663809099199779,-30.9251976740888,-0.227426987060998,0.00663809099199779,0.107142857142857
656605,SL,"Keller, Mitch",443,-3.12200459752634,23.9277652370203,105.310479575844,-0.570279909706546,0.284207674943567,0.854487584650113,2.70761869914182e-15,-105.310479575844,-0.570279909706546,-105.310479575844,0.474103585657371
