player_name,pitch_type,n,res_loc,spin_sim,grp2
"Cano, Yennier",CH,268,0.0132753411957924,0.368179493797065,All other offspeed
"Halvorsen, Seth",FS,133,0.0132683364002181,0.555434588379519,All other offspeed
"Leahy, Kyle",CH,207,0.0129968406347407,0.289575280113455,All other offspeed
"Pressly, Ryan",CH,77,0.0127010991188772,0.155780608850156,All other offspeed
"Taillon, Jameson",CH,306,0.0126750716333119,0.54245696182459,All other offspeed
"Irvin, Jake",CH,202,0.0124362122795151,0.690710107427049,All other offspeed
"Martinez, Nick",CH,851,0.0122802471300831,0.175821565093946,All other offspeed
"Skenes, Paul",CH,379,0.0121593463999677,0.690775763641975,All other offspeed
"Santana, Dennis",CH,128,0.0121430655837264,0.711225726733283,All other offspeed
"Junis, Jakob",CH,249,0.0120855934290694,0.736838865068944,All other offspeed
"Stratton, Chris",CH,116,0.0118925039910585,0.741037468213543,All other offspeed
"Anderson, Shaun",CH,71,0.0117278755268239,0.293077400530678,All other offspeed
"Duran, Jhoan",FS,614,0.0115696227606364,0.262331529525145,All other offspeed
"Jacob, Alek",CH,129,0.0115543553011185,0.325499586077828,All other offspeed
"Vodnik, Victor",CH,272,0.011550248691554,0.505291184406344,All other offspeed
"Kelly, Merrill",CH,983,0.0115172156622943,0.694711405357409,All other offspeed
"Ottavino, Adam",CH,61,0.0110693186265585,0.66742706098943,All other offspeed
"Weissert, Greg",CH,136,0.0110593262009733,0.00813286512663646,All other offspeed
"Knack, Landon",CH,164,0.0110182229321006,0.608824573335142,All other offspeed
"Sánchez, Cristopher",CH,1732,0.0108268339291733,0.561964158123191,All other offspeed
"Swanson, Erik",FS,255,0.0103722769284434,0.489017205361956,All other offspeed
"Woodruff, Brandon",CH,249,0.0100529439683086,0.717679620060492,All other offspeed
"Snell, Blake",CH,424,0.00931846106152378,0.538285147222791,All other offspeed
"Hart, Kyle",FS,82,0.00929586752283184,0.0100562506251166,All other offspeed
"Hendricks, Kyle",CH,1290,0.00884068501953998,0.255534720563521,All other offspeed
"Pérez, Eury",CH,119,0.00882784198465731,0.823443479911095,All other offspeed
"Fujinami, Shintaro",FS,67,0.00875885983954553,0.334931438783955,All other offspeed
"Teng, Kai-Wei",CH,80,0.0086179817276439,0.654201408753108,All other offspeed
"Lopez, Jacob",CH,175,0.00812421316087793,0.778437009496735,All other offspeed
"Bennett, Jake",CH,131,0.00787744188519796,0.773294319671786,All other offspeed
"Aldegheri, Sam",CH,155,0.00768814781599943,0.222369305152467,All other offspeed
"Brown, Hunter",CH,360,0.00723175858830317,0.710010852851947,All other offspeed
"Estévez, Carlos",CH,137,0.00658357537966443,0.284856390739747,All other offspeed
"De Los Santos, Enyel",CH,258,0.0065106978969162,0.641957915996734,All other offspeed
"Maeda, Kenta",FS,504,0.0064866052032713,0.422193081168156,All other offspeed
"Spiers, Carson",CH,126,0.00640123687736749,0.199655641067837,All other offspeed
"Ferrer, José A.",CH,289,0.00603261934933681,0.722783019524223,All other offspeed
