pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,nz_rate,axis_gap
592791,breaking,CU,"Taillon, Jameson",382,-1.40932952291899,18.848167539267,3.53351992982001,47.8410994764398,44.3957940114026,-0.194926701570681,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.19
605130,breaking,CU,"Barlow, Scott",330,-1.83232286612054,38.1818181818182,4.7498978396195,31.4839643005396,26.9917322157748,0.153272727272727,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,0.15
607192,breaking,CU,"Glasnow, Tyler",401,-10.9502819872924,45.8852867830424,3.36667849358342,60.0375857790504,57.0016223603746,-0.0105960099750626,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.01
607259,breaking,CU,"Martinez, Nick",221,2.68315894608544,21.2669683257919,4.93519569584279,61.794687758234,56.8632527922764,-0.143859728506787,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.104502200162837,76,100,-0.14
607625,breaking,CU,"Lugo, Seth",695,2.47063794465626,26.4748201438849,2.89937107913515,34.581970454171,32.8424230980736,-0.0337107913669065,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.113491340914193,76,100,-0.03
621107,breaking,CU,"Eflin, Zach",462,3.62552664098341,28.5714285714286,3.0284277288009,30.5511164605703,27.8034726944937,-0.172709956709957,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.077339388458188,76,100,-0.17
623167,breaking,CU,"Flexen, Chris",200,7.72715295992149,29.5,2.35315832076883,70.436898395722,68.7211453440864,-0.032295,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.03628710531639,76,100,-0.03
624133,breaking,CU,"Suarez, Ranger",599,-0.939477315984658,32.7212020033389,4.08355775673649,44.0295792132186,40.0426059152536,0.0672086811352253,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,0.07
641154,breaking,CU,"López, Pablo",230,-14.1232369840266,31.304347826087,8.29321748201956,45.230890052356,37.1115934569763,-0.0598130434782608,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.06
650644,breaking,CU,"Civale, Aaron",582,6.56909211438796,25.7731958762887,6.18956229508047,49.9034471783888,43.738386999563,-0.126768041237114,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0426841347890963,76,100,-0.13
