pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,as_gap,exp_whiff
666745,2024,"Brito, Jhony",120,10.4515191059148,55.7558333333333,6.55526539278132,2.91827314097189,6.17663872714997,216,26.6666666666667,55.5555555555556,89.8111111111111,1760.37037037037,1.2625,0.98,0.948,Jhony Brito,0.032,23.7483935256948
527048,2024,"Pérez, Martín",270,12.3852107460566,46.3833333333333,8.13326797385621,2.90574792958734,4.22585191553909,501,34.0740740740741,53.8922155688623,83.3506986027944,1671.84031936128,-1.11077844311377,0.993,0.969,Martín Pérez,0.024,31.1683261444867
527048,2020,"Pérez, Martín",124,5.48702586921733,47.7427419354839,8.80012406947891,2.72977438358507,4.45649274142305,266,32,56.390977443609,83.6567669172933,1703.6954887218,-0.585338345864662,0.996,0.965,Martín Pérez,0.031,29.2702256164149
605483,2023,"Snell, Blake",303,23.3047303178417,54.0237623762376,8.86835221533849,2.71833929116435,3.23582108878659,584,46.7948717948718,53.4246575342466,86.7344178082192,1795.58219178082,2.38715753424658,0.985,0.924,Blake Snell,0.061,44.0765325037075
519043,2021,"Moore, Matt",127,27.134743624174,48.6330708661417,9.81792424461793,2.62290772950183,3.34042269834381,243,36.4341085271318,53.0864197530864,82.579012345679,1842.86419753086,-0.891769547325104,0.984,0.983,Matt Moore,0.001,33.81120079763
656793,2022,"Nelson, Nick",161,40.6439354341618,44.7683229813665,8.27739495798319,2.52961577442926,3.51756814329932,350,34.1614906832298,46,87.9251428571429,1916.35714285714,-1.65714285714286,0.974,0.956,Nick Nelson,0.018,31.6318749088006
689672,2024,"Thorpe, Drew",140,19.5566175737541,51.6878571428572,9.3678078817734,2.5279202153573,2.99166172564422,256,37.8571428571429,54.6875,81.613671875,2113.59765625,2.102734375,0.978,0.909,Drew Thorpe,0.069,35.3292226417856
666120,2022,"Anderson, Ian",374,15.3880650495915,58.4256684491979,5.76416000533648,2.48699407944538,4.97126107701607,669,36.5333333333333,56.0538116591928,88.1862481315396,1518.55255255255,0.546337817638266,0.975,0.99,Ian Anderson,-0.015,34.046339253888
676272,2024,"Miller, Bobby",83,31.0585391379083,46.5686746987952,11.2103670495937,2.18265034051932,4.57960109207476,210,40.9638554216868,39.5238095238095,86.4061904761905,2248.00952380952,-0.0376190476190471,0.975,0.985,Bobby Miller,-0.01,38.7812050811674
641582,2020,"Foster, Matt",69,20.4098400774216,52.972463768116,10.0465514230836,1.93801844475684,2.53383573506132,146,34.1463414634146,56.1643835616438,83.7958904109589,1755.19178082192,2.68493150684931,0.97,0.974,Matt Foster,-0.004,32.2083230186578
518633,2021,"Duffy, Danny",67,31.831497974941,51.6791044776119,8.30648839137646,1.84972093940898,2.38324754353321,155,37.3134328358209,43.2258064516129,85.1722580645161,2292.56129032258,0.92258064516129,0.923,0.967,Danny Duffy,-0.044,35.4637118964119
608337,2020,"Giolito, Lucas",215,18.8135033149128,57.0227906976744,13.0421786228316,1.78853948762546,1.87467902152855,409,41.4225941422594,58.4352078239609,80.8853300733497,1410.19117647059,1.16528117359413,0.99,0.994,Lucas Giolito,-0.004,39.634054654634
829272,2025,"Ogasawara, Shinnosuke",79,17.9700717063109,46.8860759493671,10.0905378534362,1.7602708767076,2.45832183639504,150,27.8481012658228,52.6666666666667,80.6533333333333,1589.66666666667,-1.036,0.96,0.915,Shinnosuke Ogasawara,0.045,26.0878303891152
542881,2025,"Anderson, Tyler",413,19.1477674467656,59.1917675544794,10.5533977024723,1.70820087747112,1.53989185600257,795,38.4615384615385,52.3270440251572,78.6755974842767,1916.38113207547,-0.0335849056603767,0.945,0.992,Tyler Anderson,-0.047,36.7533375840674
694363,2023,"Shuster, Jared",95,9.78310620308844,47.1421052631579,9.29568115539508,1.64781733226511,2.46015284086959,199,33.3333333333333,48.2412060301508,82.1949748743719,1513.29292929293,-2.18241206030151,0.976,0.933,Jared Shuster,0.043,31.6855160010682
672282,2026,"Detmers, Reid",96,13.9225350164186,44.0333333333333,10.528430975522,1.576826907337,1.51890161327178,203,33.3333333333333,47.2906403940887,83.6512315270936,1641.039408867,-0.900985221674876,0.957,0.984,Reid Detmers,-0.027,31.7565064259963
608337,2022,"Giolito, Lucas",354,19.6629969341185,56.1392655367232,11.6190368788647,1.41960652266667,1.41511679382331,672,37.8531073446328,52.6785714285714,81.0522321428571,1443.68107302534,-0.136755952380953,0.981,0.985,Lucas Giolito,-0.004,36.4335008219661
664199,2023,"Clarke, Taylor",79,32.4120365930176,47.0556962025316,5.67150673744385,1.29894179261154,3.04157540748339,164,31.6455696202532,48.1707317073171,89.0615853658537,1582.89634146341,-2.85609756097561,0.955,0.9,Taylor Clarke,0.055,30.3466278276416
669330,2023,"Wells, Tyler",189,15.5429704605008,49.0830687830688,7.1551902769476,1.28213470440444,1.19845608928713,353,32.8042328042328,53.5410764872521,85.3764872521247,2251.80736543909,0.552124645892352,0.943,0.926,Tyler Wells,0.017,31.5220980998284
519043,2024,"Moore, Matt",142,32.2093556864586,45.656338028169,9.93867467097668,1.27216768289608,1.36244284915236,271,32.3943661971831,52.3985239852399,82.7686346863469,1923.85977859779,-1.63690036900369,0.976,0.981,Matt Moore,-0.005,31.122198514287
665795,2023,"Cabrera, Edward",300,10.8410424915847,46.087,3.18135496957404,1.24309045333831,1.58533306866568,565,36.3036303630363,53.6283185840708,92.9391150442478,1700.19464285714,0.658938053097346,0.957,0.922,Edward Cabrera,0.035,35.060539909698
596295,2021,"Gomber, Austin",177,33.2164778652428,58.6853107344633,8.40316024039435,1.23142019499963,2.49314391149659,360,31.3186813186813,50.5555555555556,83.1044444444444,1654.72625698324,1.37083333333333,0.963,0.995,Austin Gomber,-0.032,30.0872611236817
605488,2022,"Springs, Jeffrey",428,12.3538496272059,47.3864485981309,10.3098862179663,1.19085167395247,2.09363063584477,731,38.1944444444444,59.0971272229822,81.133926128591,1415.02469135802,1.05362517099863,0.975,0.988,Jeffrey Springs,-0.013,37.003592770492
702070,2026,"Cameron, Noah",180,20.4494235839088,48.185,11.5668428970557,1.0730079081262,0.22413304493188,409,33.6683417085427,48.6552567237164,80.9652811735941,1643.47512437811,0.601466992665037,0.978,0.906,Noah Cameron,0.072,32.5953338004165
669330,2022,"Wells, Tyler",169,13.7245091849136,50.6704142011834,6.79740628288509,0.795350024162416,1.31513225261472,303,33.1360946745562,55.7755775577558,86.6805280528053,2097.77227722772,1.03102310231023,0.96,0.961,Tyler Wells,-0.001,32.3407446503938
669212,2023,"Morgan, Eli",213,49.7218031784781,48.0535211267606,13.9130498862893,0.710466047875919,0.660454727571008,377,30.8411214953271,56.763925729443,78.5846153846154,2039.26595744681,0.873740053050398,0.925,0.971,Eli Morgan,-0.046,30.1306554474512
542881,2020,"Anderson, Tyler",126,20.2175502073477,50.9952380952381,9.23597030209933,0.558744827461904,0.24137851750225,315,32.2981366459627,51.1111111111111,80.9031746031746,1987.62258064516,0.772698412698412,0.961,0.993,Tyler Anderson,-0.032,31.7393918185008
519043,2023,"Moore, Matt",147,32.1654099482279,46.243537414966,9.86319693706629,0.552031303088401,0.724430244801521,260,32.4324324324324,56.9230769230769,84.1919230769231,2017.48837209302,2.95230769230769,0.974,0.98,Matt Moore,-0.006,31.880401129344
663776,2024,"Sandoval, Patrick",212,36.5271660854506,50.0844339622642,10.7933757178015,0.538610848633574,2.54301237682532,409,38.9671361502347,52.078239608802,82.9139364303179,1698.99511002445,0.459413202933985,0.981,0.939,Patrick Sandoval,0.042,38.4285253016012
675911,2023,"Strider, Spencer",97,20.307688199004,44.2041237113402,10.201801018507,0.360664141909088,1.00832842914534,225,44.4444444444444,44,87.0253333333333,2257.30666666667,1.07066666666667,0.977,0.965,Spencer Strider,0.012,44.0837803025354
623167,2022,"Flexen, Chris",151,25.2692504559369,62.8596026490066,10.6983973981287,0.331443967361832,-0.0437048677185075,339,32.8947368421053,44.8377581120944,81.0525073746313,1305.91740412979,0.44542772861357,0.989,0.916,Chris Flexen,0.073,32.5632928747434
608337,2021,"Giolito, Lucas",530,19.2915750807994,55.6892452830189,12.3226607683285,0.260703575022089,0.405495211103499,944,35.4359925788497,57.0974576271187,81.5027542372881,1491.65319148936,1.06260593220339,0.987,0.993,Lucas Giolito,-0.006,35.1752890038276
665795,2022,"Cabrera, Edward",215,8.97505869102719,44.5846511627907,3.48700545506747,0.159437561353137,0.164770903821976,392,33.0232558139535,54.8469387755102,92.4382653061224,1679.22959183673,1.5469387755102,0.971,0.933,Edward Cabrera,0.038,32.8638182526004
680739,2022,"Winder, Josh",86,16.1360066010549,53.4325581395349,5.21425730541899,0.145332834267005,0.561751035493011,151,30.2325581395349,56.953642384106,88.905298013245,1510.22516556291,-0.00463576158940368,0.989,0.983,Josh Winder,0.006,30.0872253052679
