PitcherId,season,nsw,axis,velo_sep,rz,rx,w,w_tj,name,slot,eff_ch,n_ch,eff_ff,eff_gap,matched,eff_floor,eff_close,hi_slot,core,corex,bb
699891,2024,102,29.2210291507308,7.46839472121207,5.81649254901961,1.06541117647059,-7.93952087340295,-3.14927154509271,"Purcell, Colin",46.3411281583606,0.966188071425352,178,0.941228760714873,0.0249593107104792,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
701060,2024,53,45.811915900059,4.70920493514153,5.15325490566038,2.6378679245283,5.57931597146874,7.15992235229337,"Beal, Danny",9.74971088719766,0.959824418985245,130,0.947374869040523,0.012449549944722,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
701336,2025,40,42.0875515686059,8.35591581039072,5.65840475,1.534172,11.2866378329294,10.7381429259081,"Hickson, Davion",31.9932226192124,0.966231073429221,114,0.888539862097988,0.0776912113312327,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
701355,2025,41,36.5524537595819,6.69278164634144,5.81069195121951,2.1861912195122,9.11734170955916,5.99516425673628,"Vera, Jordan",26.9327945942625,0.93710596467704,92,0.884055629147279,0.0530503355297611,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
701456,2025,97,29.2149797979382,4.0230575670103,5.36959670103093,1.33198443298969,-0.785233573085288,0.178966937633122,"Siegel, Grant",26.6889554022379,0.893920257783734,197,0.91513350614237,-0.0212132483586353,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
701480,2024,102,33.3247100360415,8.50832924150103,5.87418960784314,1.42852323529412,3.27772668733166,2.5664900255037,"Cunningham, Bryce",39.4188525146665,0.991699416744572,217,0.983582754100895,0.00811666264367683,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
701509,2024,49,25.9798363596472,8.91919403984315,5.41518306122449,1.61047755102041,-8.82377154337609,-5.90338496751108,"Holiday, Brian",23.9451148878343,0.943373225046379,99,0.935630436179764,0.00774278886661484,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
701585,2025,58,37.2364656774756,6.62368150585259,5.59543551724138,2.06835931034483,-4.74455621149661,-7.52203333440033,"McGehee, Blake",23.4087842821846,0.955155664723301,120,0.958645636441662,-0.00348997171836118,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
701601,2025,42,20.4049610013227,6.54921116402114,5.96464690476191,1.18635833333333,-2.06333289857858,-0.568497671203977,"Case, David",46.829486165595,0.944430800614451,111,0.95905247655275,-0.0146216759382992,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
701720,2025,141,33.0226776228108,1.36148963815312,6.05218780141844,1.08487539007092,-0.422782858210672,-3.34460026293917,"Hunter, Aidan",51.2595383137168,0.952350026542003,284,0.803551771475858,0.148798255066145,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
701775,2025,42,42.071286300207,8.36131538302277,5.30509142857143,2.29995904761905,-3.96342712006346,-4.24133159256195,"Barlow, Billy",14.7398128706323,0.946217120380849,100,0.740146037383589,0.20607108299726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
701795,2024,120,40.4972030568625,7.9939207472768,5.88798733333333,3.018983,-1.7412039284868,-2.9761637549191,"Beam, Drew",21.4799256791289,0.962112358996689,214,0.991621753381514,-0.0295093943848258,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
701836,2024,160,33.7470500800718,9.39742226536877,6.656502375,2.1184379375,-6.26032990795095,-2.11501893831209,"Robinson, Kyle",42.7242992328166,0.908287684765385,312,0.986731311642226,-0.078443626876841,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
701905,2024,95,29.2740210891966,4.41790757894737,6.01875947368421,0.736679473684211,-7.29163141931127,-4.17898848920226,"Shertel, Jayden",60.8115978568711,1,208,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
