pitcher,game_year,pitch_type,n,velo,hb,ivb,spin,sx,cx,sw,wh,name,hand,axis,whiff_rate,mv,fb_type,fb_axis,fb_velo,fb_hb,fb_ivb,fb_spin,fb_n,gap,velo_gap,mv_ratio,active_spin,wres,res_loc,plate_z,below,band
680732,2025,SL,570,86.5952631578947,-5.36063157894737,4.87663157894737,2507.29122807018,0.282829763866589,-0.884524791257681,309,86,"Burke, Sean",R,162.268148675763,27.831715210356,7.24692393240018,FF,201.22306514149,94.4160368663595,4.90075576036866,18.3826728110599,2554.09677419355,1085,38.9549164657267,7.82077370846471,0.380921399899628,0.33,-6.04168456432713,-2.75289942310082,2.21657622933736,19.9261992619926,same axis (<60°)
687064,2026,SL,225,84.0297777777778,-2.12053333333333,2.68053333333333,2060.31111111111,0.153211822105656,-0.669503085992109,115,51,"Young, Brandon",R,167.110152826437,44.3478260869565,3.41788246855987,FF,206.197934393268,94.3488486842105,5.55217105263158,17.733552631579,2242.33388157895,608,39.0877815668304,10.3190709064327,0.183931190305058,0.226,14.6735361525955,5.67901791979675,1.7021550610111,41.7391304347826,same axis (<60°)
677952,2026,SL,433,91.7556581986143,-1.05561200923788,4.53117782909931,2589.49191685912,-0.0453801194170266,-0.902688995461036,252,78,"Ashcraft, Braxton",R,182.877959355017,30.952380952381,4.65251429153832,FF,223.180317139005,97.1797297297297,9.38695945945946,15.3869594594595,2352.72466216216,592,40.3023577839877,5.42407153111542,0.258125287449023,0.328,0.254414199858226,1.32163646889556,2.00168240478588,24.2914979757085,same axis (<60°)
641927,2026,SL,223,82.3367713004484,-4.3980269058296,6.38260089686099,2081.10762331839,0.147547271173828,-0.958791553649272,109,13,"Ober, Bailey",R,171.25145141499,11.9266055045872,7.75114410090612,FF,211.807166574225,88.2313953488372,7.51953488372093,16.6917209302326,2277.90697674419,430,40.5557151592351,5.89462404838878,0.423391070667766,0.485,-7.74554408842248,-1.529192143328,2.13457309826316,16.6666666666667,same axis (<60°)
663554,2026,SL,346,87.7106936416185,-3.45294797687861,5.26751445086705,2236.77167630058,0.121572427480495,-0.894087810794538,159,44,"Mize, Casey",R,172.256768990185,27.6729559748428,6.29837742764939,FF,213.395310231367,93.5132450331126,9.73774834437086,17.8932450331126,2264.34657836645,453,41.1385412411818,5.80255139149409,0.309178182779829,0.356,0.861524720409841,7.63135691575038,2.24524092389574,11.7647058823529,same axis (<60°)
668678,2025,SL,423,88.6250591016549,-4.73673758865248,6.38070921985816,2364.23640661939,0.215051712042129,-0.894536135841698,202,41,"Gallen, Zac",R,166.482282193871,20.2970297029703,7.94670580379922,FF,207.624769602285,93.5218836565097,4.35074792243767,17.2007202216067,2322.59556786704,1444,41.142487408414,4.89682455485486,0.447892779737617,0.418,-3.5651925428749,1.2438226073486,2.36637379198233,11.2903225806452,same axis (<60°)
686752,2025,SL,471,89.0261146496815,-6.79847133757962,8.75872611464968,2590.37154989384,0.269807573070182,-0.924147524999279,244,58,"Pepiot, Ryan",R,163.724680929134,23.7704918032787,11.0875829502799,FF,204.996882967895,95.1707398171239,7.83022443890274,19.1229925187032,2412.65669160432,1203,41.2722020387604,6.14462516744233,0.536564956211584,0.508,-7.26844164289715,-2.24038596195492,2.63812862797983,4.60251046025105,same axis (<60°)
680732,2026,SL,371,86.9032345013477,-5.51094339622642,4.08129380053908,2526.24528301887,0.31170624222906,-0.86214348574324,179,58,"Burke, Sean",R,160.122645102328,32.4022346368715,6.85765675743036,FF,201.783362638595,94.8662180349933,4.54982503364738,18.6799461641992,2584.14131897712,743,41.6607175362672,7.96298353364556,0.35668553830801,0.325,-1.40330187004486,0.678155958253389,2.03310971673415,19.8863636363636,same axis (<60°)
643338,2025,SL,346,88.0222543352601,-3.27086705202312,3.46890173410405,2239.96531791908,0.226730528844904,-0.820615071245522,158,38,"Green, Chad",R,164.554875418444,24.0506329113924,4.76779304425858,FF,208.182491673546,95.1734072022161,6.86958448753463,18.3905817174515,2481.36565096953,361,43.6276162551028,7.15115286695595,0.242861626794109,0.259,-3.76974255327832,-1.39810134747756,2.01886430783184,26.3157894736842,same axis (<60°)
693433,2025,SL,316,88.2623417721519,-3.09,4.85810126582279,2241.76582278481,-0.00313846082673998,-0.856035838854594,159,57,"Woo, Bryan",R,180.21006101111,35.8490566037736,5.75753835497333,FF,224.715652336527,95.6566465256798,9.64051359516616,14.879003021148,2292.93882175227,1324,44.5055913254167,7.39430475352786,0.324749063503876,0.274,7.04761981763628,7.68919846403752,2.07961460096937,21.5277777777778,same axis (<60°)
