train,test,n_test,arm,axis,as_fb,as_ch
3.97651210638344,0.950235710621466,17,30,8,0.91,0.87
2.85593591071225,2.25923425325552,15,35,8,0.85,0.87
3.20972385310593,-2.1184132251247,15,45,18,0.95,0.93
2.85614138442806,-1.33090215990057,8,55,22,0.85,0.89
4.52757740276603,-1.11947971310997,5,40,10,0.91,0.89
3.90717415848151,0.240114765557099,13,40,12,0.93,0.85
3.85956261022333,0.321264095370441,13,40,12,0.93,0.89
2.5008696560734,0.80216765020082,10,25,8,0.85,0.93
4.6395705937829,-1.63015823440545,10,40,12,0.93,0.89
3.71180595174071,1.01344312164952,10,30,8,0.85,0.91
3.26473576683546,-0.787119567313317,11,37.5,12,0.93,0.89
3.96869972746717,0.826057676748322,15,25,8,0.85,0.91
4.27997357720403,-1.52749677027219,3,40,8,0.85,0.89
3.6946872063538,1.32170596640572,17,35,8,0.85,0.85
2.75975051275797,1.57639046970577,12,35,10,0.91,0.89
3.07712077807274,3.856851505183,6,35,8,0.85,0.91
2.04216759077968,1.53538807274734,8,55,22,0.91,0.85
2.21623010815123,1.79643521561508,19,35,10,0.85,0.89
3.72617509100597,2.05892506120933,7,40,8,0.85,0.85
2.57071108857903,-0.876875797892396,18,50,22,0.93,0.93
2.47068582534109,1.25096768883153,21,32.5,10,0.85,0.89
2.82664734952711,0.646695968265723,15,30,8,0.91,0.85
4.79816722625309,-1.81852225246411,15,37.5,12,0.93,0.85
4.31451044699738,-0.290670048495759,11,25,8,0.91,0.91
4.4189412257671,0.051808452807872,11,35,8,0.91,0.85
3.32591732730929,-1.27187291969357,10,37.5,12,0.93,0.89
3.23736887797737,2.75005012405697,7,40,8,0.85,0.85
4.8094996113966,-0.416387345103352,13,40,12,0.91,0.91
4.46622332273838,-0.509980911566252,15,25,8,0.91,0.89
4.1868052388191,1.5802396453707,5,35,8,0.85,0.91
3.78888716967242,-0.135153991811892,11,40,12,0.91,0.91
4.21161339656881,1.180661286041,7,40,10,0.85,0.91
3.14948677390405,-0.6635185775151,8,50,16,0.85,0.85
1.8393069924907,0.55440268910687,8,25,8,0.95,0.85
3.58509187195002,3.20019555447529,4,30,6,0.85,0.85
2.40815665191357,1.8248171944557,18,40,12,0.89,0.91
3.05519441805536,0.911608446322995,13,40,10,0.85,0.85
4.19102374189596,0.785676760839321,17,30,8,0.91,0.87
4.35830257374207,1.26176557728397,3,42.5,10,0.91,0.87
5.00205521701079,0.47256671042849,6,35,8,0.85,0.91
4.65592580579767,0.129784700890906,10,35,10,0.91,0.91
5.21009728106384,-1.7123974588391,8,42.5,10,0.85,0.85
0.86260881752545,-0.474072260490303,22,50,26,0.85,0.95
2.73611171113574,-0.520198061506054,21,50,26,0.93,0.95
2.04934410083842,2.10295191232353,23,30,8,0.85,0.87
4.30859598464497,-0.273759718410565,11,25,8,0.91,0.91
3.2006080048777,1.58510250181088,10,35,10,0.91,0.91
5.03821212163026,0.237767628557985,32,25,10,0.85,0.89
4.16832122168884,1.21702435247537,7,35,8,0.91,0.89
4.01436952174728,1.08967250164452,8,32.5,8,0.85,0.91
2.73035067721123,-0.60355879091634,10,42.5,12,0.89,0.91
3.93203933935723,-0.0911263772772396,12,40,12,0.93,0.85
4.04524105617983,0.255957585860804,22,25,8,0.91,0.85
3.35923383181355,-0.218889957055502,29,32.5,12,0.91,0.89
3.39310963889585,-1.76022664339957,17,52.5,26,0.93,0.85
2.13919272325202,1.77596010606277,18,32.5,8,0.85,0.87
2.51232564568564,-3.621882010989,9,45,14,0.93,0.85
2.36205423662152,1.45323083807042,19,30,8,0.85,0.85
3.73097491615889,1.34697880084168,23,30,8,0.85,0.87
4.00216644363631,1.10195529790554,3,35,8,0.85,0.93
3.91186660740105,1.74794213965376,8,40,10,0.85,0.91
3.9866366275795,-0.358386146233443,15,32.5,10,0.91,0.89
4.6646660123705,-3.65747415408305,9,47.5,16,0.91,0.89
4.60825802122439,0.609906013804127,5,35,8,0.85,0.91
4.57156333554164,0.933961938580699,8,40,10,0.85,0.91
